UF;Cod_Infracao;Quantidade
BAHIA;5002;21
CEARA;5002;8
DISTRITO FEDERAL;5002;9
ESPIRITO SANTO;5002;16
GOIAS;5002;16
MARANHAO;5002;2
MATO GROSSO;5002;25
MATO GROSSO DO SUL;5002;21
MINAS GERAIS;5002;347
PARA;5002;8
PARAIBA;5002;3
PARANA;5002;126
PERNAMBUCO;5002;11
PIAUI;5002;4
RIO DE JANEIRO;5002;111
RIO GRANDE DO NORTE;5002;4
RIO GRANDE DO SUL;5002;260
RONDONIA;5002;14
RORAIMA;5002;1
SANTA CATARINA;5002;818
SAO PAULO;5002;3181
SERGIPE;5002;4
ACRE;5010;620
ALAGOAS;5010;265
AMAZONAS;5010;53
AMAPA;5010;36
BAHIA;5010;202
CEARA;5010;425
DISTRITO FEDERAL;5010;561
ESPIRITO SANTO;5010;5002
GOIAS;5010;5090
MARANHAO;5010;126
MATO GROSSO;5010;162
MATO GROSSO DO SUL;5010;329
MINAS GERAIS;5010;2687
PARA;5010;86
PARAIBA;5010;65
PARANA;5010;743
PERNAMBUCO;5010;141
PIAUI;5010;87
RIO DE JANEIRO;5010;873
RIO GRANDE DO NORTE;5010;137
RIO GRANDE DO SUL;5010;974
RONDONIA;5010;386
RORAIMA;5010;25
SANTA CATARINA;5010;623
SAO PAULO;5010;736
SERGIPE;5010;489
TOCANTINS;5010;65
ACRE;5029;10
ALAGOAS;5029;3
AMAZONAS;5029;1
BAHIA;5029;6
CEARA;5029;2
DISTRITO FEDERAL;5029;9
ESPIRITO SANTO;5029;389
GOIAS;5029;31
MARANHAO;5029;2
MATO GROSSO;5029;2
MATO GROSSO DO SUL;5029;7
MINAS GERAIS;5029;81
PARANA;5029;117
PERNAMBUCO;5029;3
RIO DE JANEIRO;5029;112
RIO GRANDE DO NORTE;5029;1
RIO GRANDE DO SUL;5029;210
RONDONIA;5029;2
RORAIMA;5029;1
SANTA CATARINA;5029;85
SAO PAULO;5029;104
SERGIPE;5029;5
ACRE;5037;24
ALAGOAS;5037;6
AMAZONAS;5037;4
AMAPA;5037;6
BAHIA;5037;18
CEARA;5037;36
DISTRITO FEDERAL;5037;27
ESPIRITO SANTO;5037;139
GOIAS;5037;309
MARANHAO;5037;7
MATO GROSSO;5037;11
MATO GROSSO DO SUL;5037;14
MINAS GERAIS;5037;245
PARA;5037;4
PARAIBA;5037;2
PARANA;5037;52
PERNAMBUCO;5037;10
PIAUI;5037;4
RIO DE JANEIRO;5037;54
RIO GRANDE DO NORTE;5037;5
RIO GRANDE DO SUL;5037;86
RONDONIA;5037;9
RORAIMA;5037;1
SANTA CATARINA;5037;27
SAO PAULO;5037;65
SERGIPE;5037;20
TOCANTINS;5037;4
ACRE;5045;356
ALAGOAS;5045;33
AMAZONAS;5045;10
AMAPA;5045;9
BAHIA;5045;45
CEARA;5045;75
DISTRITO FEDERAL;5045;288
ESPIRITO SANTO;5045;718
GOIAS;5045;1688
MARANHAO;5045;16
MATO GROSSO;5045;34
MATO GROSSO DO SUL;5045;41
MINAS GERAIS;5045;454
PARA;5045;14
PARAIBA;5045;13
PARANA;5045;138
PERNAMBUCO;5045;29
PIAUI;5045;12
RIO DE JANEIRO;5045;149
RIO GRANDE DO NORTE;5045;18
RIO GRANDE DO SUL;5045;144
RONDONIA;5045;32
RORAIMA;5045;8
SANTA CATARINA;5045;245
SAO PAULO;5045;269
SERGIPE;5045;107
TOCANTINS;5045;23
ACRE;5053;21
ALAGOAS;5053;9
AMAZONAS;5053;3
AMAPA;5053;2
BAHIA;5053;15
CEARA;5053;38
DISTRITO FEDERAL;5053;31
ESPIRITO SANTO;5053;7
GOIAS;5053;325
MARANHAO;5053;2
MATO GROSSO;5053;12
MATO GROSSO DO SUL;5053;10
MINAS GERAIS;5053;163
PARA;5053;3
PARAIBA;5053;6
PARANA;5053;14
PERNAMBUCO;5053;10
PIAUI;5053;3
RIO DE JANEIRO;5053;6
RIO GRANDE DO NORTE;5053;3
RIO GRANDE DO SUL;5053;26
RONDONIA;5053;2
SANTA CATARINA;5053;33
SAO PAULO;5053;40
SERGIPE;5053;2
TOCANTINS;5053;6
ACRE;5061;21
ALAGOAS;5061;8
BAHIA;5061;6
CEARA;5061;13
DISTRITO FEDERAL;5061;17
ESPIRITO SANTO;5061;95
GOIAS;5061;54
MARANHAO;5061;1
MATO GROSSO;5061;6
MATO GROSSO DO SUL;5061;12
MINAS GERAIS;5061;30
PARA;5061;6
PARAIBA;5061;3
PARANA;5061;26
PERNAMBUCO;5061;7
PIAUI;5061;1
RIO DE JANEIRO;5061;19
RIO GRANDE DO NORTE;5061;3
RIO GRANDE DO SUL;5061;51
RONDONIA;5061;14
RORAIMA;5061;1
SANTA CATARINA;5061;22
SAO PAULO;5061;16
SERGIPE;5061;8
TOCANTINS;5061;1
ESPIRITO SANTO;5070;5
MARANHAO;5070;1
MINAS GERAIS;5070;2
PARANA;5070;3
RIO DE JANEIRO;5070;2
RIO GRANDE DO SUL;5070;7
SANTA CATARINA;5070;4
SAO PAULO;5070;2
ALAGOAS;5088;1
AMAPA;5088;1
CEARA;5088;2
ESPIRITO SANTO;5088;2
GOIAS;5088;3
MATO GROSSO;5088;2
MATO GROSSO DO SUL;5088;2
MINAS GERAIS;5088;2
PARANA;5088;1
RIO DE JANEIRO;5088;1
RIO GRANDE DO NORTE;5088;1
RIO GRANDE DO SUL;5088;5
SANTA CATARINA;5088;2
SAO PAULO;5088;2
ACRE;5096;7
BAHIA;5096;1
CEARA;5096;1
DISTRITO FEDERAL;5096;1
ESPIRITO SANTO;5096;12
GOIAS;5096;7
MATO GROSSO;5096;1
MATO GROSSO DO SUL;5096;2
MINAS GERAIS;5096;4
PARANA;5096;3
PERNAMBUCO;5096;1
RIO DE JANEIRO;5096;2
RIO GRANDE DO NORTE;5096;1
RIO GRANDE DO SUL;5096;11
RONDONIA;5096;1
SANTA CATARINA;5096;6
SAO PAULO;5096;6
CEARA;5100;1
GOIAS;5100;1
RIO GRANDE DO SUL;5100;1
SAO PAULO;5100;1
ACRE;5118;269
ALAGOAS;5118;54
AMAZONAS;5118;8
AMAPA;5118;15
BAHIA;5118;51
CEARA;5118;280
DISTRITO FEDERAL;5118;20
ESPIRITO SANTO;5118;2531
GOIAS;5118;124
MARANHAO;5118;16
MATO GROSSO;5118;13
MATO GROSSO DO SUL;5118;114
MINAS GERAIS;5118;851
PARA;5118;23
PARAIBA;5118;21
PARANA;5118;522
PERNAMBUCO;5118;53
PIAUI;5118;14
RIO DE JANEIRO;5118;169
RIO GRANDE DO NORTE;5118;38
RIO GRANDE DO SUL;5118;446
RONDONIA;5118;77
RORAIMA;5118;3
SANTA CATARINA;5118;278
SAO PAULO;5118;262
SERGIPE;5118;37
TOCANTINS;5118;6
ACRE;5126;2
ALAGOAS;5126;1
BAHIA;5126;2
ESPIRITO SANTO;5126;130
GOIAS;5126;2
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;1
MINAS GERAIS;5126;11
PARAIBA;5126;1
PARANA;5126;35
PERNAMBUCO;5126;1
RIO DE JANEIRO;5126;3
RIO GRANDE DO SUL;5126;68
RONDONIA;5126;3
SANTA CATARINA;5126;28
SAO PAULO;5126;29
ACRE;5134;8
AMAPA;5134;1
BAHIA;5134;2
CEARA;5134;26
DISTRITO FEDERAL;5134;1
ESPIRITO SANTO;5134;56
GOIAS;5134;6
MARANHAO;5134;1
MINAS GERAIS;5134;56
PARANA;5134;24
PERNAMBUCO;5134;3
RIO DE JANEIRO;5134;1
RIO GRANDE DO NORTE;5134;1
RIO GRANDE DO SUL;5134;34
RONDONIA;5134;2
SANTA CATARINA;5134;6
SAO PAULO;5134;27
SERGIPE;5134;1
ACRE;5142;102
ALAGOAS;5142;2
AMAPA;5142;1
BAHIA;5142;5
CEARA;5142;43
DISTRITO FEDERAL;5142;4
ESPIRITO SANTO;5142;193
GOIAS;5142;29
MARANHAO;5142;1
MATO GROSSO;5142;1
MATO GROSSO DO SUL;5142;7
MINAS GERAIS;5142;76
PARAIBA;5142;1
PARANA;5142;51
PERNAMBUCO;5142;8
PIAUI;5142;1
RIO DE JANEIRO;5142;15
RIO GRANDE DO NORTE;5142;3
RIO GRANDE DO SUL;5142;50
RONDONIA;5142;2
RORAIMA;5142;1
SANTA CATARINA;5142;46
SAO PAULO;5142;53
SERGIPE;5142;5
ACRE;5150;3
ALAGOAS;5150;1
BAHIA;5150;1
CEARA;5150;20
ESPIRITO SANTO;5150;1
GOIAS;5150;2
MATO GROSSO DO SUL;5150;1
MINAS GERAIS;5150;21
PARAIBA;5150;4
PARANA;5150;1
PERNAMBUCO;5150;1
RIO GRANDE DO SUL;5150;8
RONDONIA;5150;11
SANTA CATARINA;5150;2
ACRE;5169;254
ALAGOAS;5169;17
AMAZONAS;5169;5
AMAPA;5169;4
BAHIA;5169;18
CEARA;5169;6
DISTRITO FEDERAL;5169;73
ESPIRITO SANTO;5169;639
GOIAS;5169;451
MARANHAO;5169;4
MATO GROSSO;5169;15
MATO GROSSO DO SUL;5169;74
MINAS GERAIS;5169;552
PARA;5169;7
PARAIBA;5169;2
PARANA;5169;172
PERNAMBUCO;5169;16
PIAUI;5169;2
RIO DE JANEIRO;5169;83
RIO GRANDE DO NORTE;5169;6
RIO GRANDE DO SUL;5169;79
RONDONIA;5169;62
SANTA CATARINA;5169;144
SAO PAULO;5169;61
SERGIPE;5169;23
TOCANTINS;5169;6
ACRE;5177;16
BAHIA;5177;1
DISTRITO FEDERAL;5177;2
ESPIRITO SANTO;5177;7
MATO GROSSO DO SUL;5177;2
MINAS GERAIS;5177;22
PARANA;5177;17
RIO DE JANEIRO;5177;1
RIO GRANDE DO SUL;5177;5
SANTA CATARINA;5177;5
SAO PAULO;5177;4
ACRE;5185;231
ALAGOAS;5185;501
AMAZONAS;5185;261
AMAPA;5185;35
BAHIA;5185;4986
CEARA;5185;888
DISTRITO FEDERAL;5185;2089
ESPIRITO SANTO;5185;2688
GOIAS;5185;22019
MARANHAO;5185;141
MATO GROSSO;5185;413
MATO GROSSO DO SUL;5185;2329
MINAS GERAIS;5185;4415
PARA;5185;214
PARAIBA;5185;150
PARANA;5185;2280
PERNAMBUCO;5185;4554
PIAUI;5185;219
RIO DE JANEIRO;5185;2678
RIO GRANDE DO NORTE;5185;640
RIO GRANDE DO SUL;5185;1632
RONDONIA;5185;723
RORAIMA;5185;2232
SANTA CATARINA;5185;3673
SAO PAULO;5185;47931
SERGIPE;5185;130
TOCANTINS;5185;404
ACRE;5193;36
ALAGOAS;5193;32
AMAZONAS;5193;20
AMAPA;5193;5
BAHIA;5193;66
CEARA;5193;49
DISTRITO FEDERAL;5193;153
ESPIRITO SANTO;5193;143
GOIAS;5193;559
MARANHAO;5193;10
MATO GROSSO;5193;29
MATO GROSSO DO SUL;5193;85
MINAS GERAIS;5193;275
PARA;5193;12
PARAIBA;5193;11
PARANA;5193;158
PERNAMBUCO;5193;52
PIAUI;5193;6
RIO DE JANEIRO;5193;150
RIO GRANDE DO NORTE;5193;19
RIO GRANDE DO SUL;5193;160
RONDONIA;5193;41
RORAIMA;5193;25
SANTA CATARINA;5193;127
SAO PAULO;5193;1443
SERGIPE;5193;9
TOCANTINS;5193;17
ACRE;5207;132
ALAGOAS;5207;36
AMAZONAS;5207;6
AMAPA;5207;2
BAHIA;5207;138
CEARA;5207;76
DISTRITO FEDERAL;5207;317
ESPIRITO SANTO;5207;295
GOIAS;5207;4255
MARANHAO;5207;26
MATO GROSSO;5207;38
MATO GROSSO DO SUL;5207;112
MINAS GERAIS;5207;339
PARA;5207;27
PARAIBA;5207;6
PARANA;5207;110
PERNAMBUCO;5207;170
PIAUI;5207;6
RIO DE JANEIRO;5207;135
RIO GRANDE DO NORTE;5207;18
RIO GRANDE DO SUL;5207;223
RONDONIA;5207;59
RORAIMA;5207;10
SANTA CATARINA;5207;532
SAO PAULO;5207;5756
SERGIPE;5207;79
TOCANTINS;5207;30
ACRE;5215;35
ALAGOAS;5215;9
AMAZONAS;5215;1
BAHIA;5215;38
CEARA;5215;11
DISTRITO FEDERAL;5215;13
ESPIRITO SANTO;5215;67
GOIAS;5215;117
MARANHAO;5215;1
MATO GROSSO DO SUL;5215;7
MINAS GERAIS;5215;51
PARA;5215;4
PARAIBA;5215;1
PARANA;5215;40
PERNAMBUCO;5215;5
PIAUI;5215;1
RIO DE JANEIRO;5215;94
RIO GRANDE DO NORTE;5215;2
RIO GRANDE DO SUL;5215;24
RONDONIA;5215;24
RORAIMA;5215;8
SANTA CATARINA;5215;18
SAO PAULO;5215;617
SERGIPE;5215;1
TOCANTINS;5215;4
AMAZONAS;5223;1
BAHIA;5223;5
ESPIRITO SANTO;5223;2
GOIAS;5223;9
MINAS GERAIS;5223;1
RIO DE JANEIRO;5223;1
RIO GRANDE DO SUL;5223;2
RONDONIA;5223;1
RORAIMA;5223;2
SANTA CATARINA;5223;2
SAO PAULO;5223;3
ACRE;5231;5
ALAGOAS;5231;8
AMAZONAS;5231;1
BAHIA;5231;5
CEARA;5231;6
DISTRITO FEDERAL;5231;3
