UF;Cod_Infracao;Quantidade
ACRE;5002;49
ALAGOAS;5002;38
AMAZONAS;5002;1900
AMAPA;5002;8
BAHIA;5002;608
CEARA;5002;169
DISTRITO FEDERAL;5002;379
ESPIRITO SANTO;5002;635
GOIAS;5002;1996
MARANHAO;5002;109
MATO GROSSO;5002;1350
MATO GROSSO DO SUL;5002;7538
MINAS GERAIS;5002;18238
PARA;5002;249
PARAIBA;5002;38
PARANA;5002;7632
PERNAMBUCO;5002;327
PIAUI;5002;96
RIO DE JANEIRO;5002;1572
RIO GRANDE DO NORTE;5002;86
RIO GRANDE DO SUL;5002;3754
RONDONIA;5002;249
RORAIMA;5002;15
SANTA CATARINA;5002;5932
SAO PAULO;5002;75173
SERGIPE;5002;61
TOCANTINS;5002;167
ACRE;5010;32
ALAGOAS;5010;482
AMAZONAS;5010;469
AMAPA;5010;55
BAHIA;5010;2416
CEARA;5010;6890
DISTRITO FEDERAL;5010;383
ESPIRITO SANTO;5010;688
GOIAS;5010;875
MARANHAO;5010;1425
MATO GROSSO;5010;1779
MATO GROSSO DO SUL;5010;1482
MINAS GERAIS;5010;11942
PARA;5010;320
PARAIBA;5010;1695
PARANA;5010;4282
PERNAMBUCO;5010;751
PIAUI;5010;777
RIO DE JANEIRO;5010;1393
RIO GRANDE DO NORTE;5010;1969
RIO GRANDE DO SUL;5010;1301
RONDONIA;5010;356
RORAIMA;5010;240
SANTA CATARINA;5010;7480
SAO PAULO;5010;39037
SERGIPE;5010;605
TOCANTINS;5010;212
ACRE;5029;2
ALAGOAS;5029;8
AMAZONAS;5029;5
AMAPA;5029;1
BAHIA;5029;18
CEARA;5029;31
DISTRITO FEDERAL;5029;13
ESPIRITO SANTO;5029;58
GOIAS;5029;27
MARANHAO;5029;4
MATO GROSSO;5029;14
MATO GROSSO DO SUL;5029;41
MINAS GERAIS;5029;462
PARA;5029;4
PARAIBA;5029;35
PARANA;5029;779
PERNAMBUCO;5029;10
PIAUI;5029;1
RIO DE JANEIRO;5029;32
RIO GRANDE DO NORTE;5029;4
RIO GRANDE DO SUL;5029;343
RONDONIA;5029;9
RORAIMA;5029;2
SANTA CATARINA;5029;462
SAO PAULO;5029;3055
SERGIPE;5029;6
TOCANTINS;5029;1
ACRE;5037;6
ALAGOAS;5037;29
AMAZONAS;5037;27
AMAPA;5037;1
BAHIA;5037;108
CEARA;5037;366
DISTRITO FEDERAL;5037;28
ESPIRITO SANTO;5037;47
GOIAS;5037;62
MARANHAO;5037;43
MATO GROSSO;5037;66
MATO GROSSO DO SUL;5037;93
MINAS GERAIS;5037;1011
PARA;5037;20
PARAIBA;5037;65
PARANA;5037;280
PERNAMBUCO;5037;25
PIAUI;5037;28
RIO DE JANEIRO;5037;129
RIO GRANDE DO NORTE;5037;49
RIO GRANDE DO SUL;5037;163
RONDONIA;5037;25
RORAIMA;5037;5
SANTA CATARINA;5037;266
