UF;Cod_Infracao;Quantidade
ACRE;5002;33
ALAGOAS;5002;70
AMAZONAS;5002;99
AMAPA;5002;19
BAHIA;5002;500
CEARA;5002;118
DISTRITO FEDERAL;5002;369
ESPIRITO SANTO;5002;574
GOIAS;5002;1540
MARANHAO;5002;86
MATO GROSSO;5002;819
MATO GROSSO DO SUL;5002;3514
MINAS GERAIS;5002;21391
PARA;5002;191
PARAIBA;5002;36
PARANA;5002;41947
PERNAMBUCO;5002;221
PIAUI;5002;57
RIO DE JANEIRO;5002;1636
RIO GRANDE DO NORTE;5002;50
RIO GRANDE DO SUL;5002;11466
RONDONIA;5002;142
RORAIMA;5002;8
SANTA CATARINA;5002;12769
SAO PAULO;5002;80016
SERGIPE;5002;85
TOCANTINS;5002;116
ACRE;5010;443
ALAGOAS;5010;703
AMAZONAS;5010;103
AMAPA;5010;317
BAHIA;5010;2224
CEARA;5010;1351
DISTRITO FEDERAL;5010;2764
ESPIRITO SANTO;5010;1256
GOIAS;5010;3673
MARANHAO;5010;742
MATO GROSSO;5010;2728
MATO GROSSO DO SUL;5010;1081
MINAS GERAIS;5010;10826
PARA;5010;2148
PARAIBA;5010;650
PARANA;5010;2687
PERNAMBUCO;5010;1790
PIAUI;5010;390
RIO DE JANEIRO;5010;1284
RIO GRANDE DO NORTE;5010;743
RIO GRANDE DO SUL;5010;9839
RONDONIA;5010;1422
RORAIMA;5010;95
SANTA CATARINA;5010;2676
SAO PAULO;5010;26500
SERGIPE;5010;377
TOCANTINS;5010;225
ACRE;5029;14
ALAGOAS;5029;7
AMAZONAS;5029;3
BAHIA;5029;13
CEARA;5029;10
DISTRITO FEDERAL;5029;42
ESPIRITO SANTO;5029;131
GOIAS;5029;26
MARANHAO;5029;1
MATO GROSSO;5029;8
MATO GROSSO DO SUL;5029;69
MINAS GERAIS;5029;370
PARA;5029;5
PARAIBA;5029;13
PARANA;5029;156
PERNAMBUCO;5029;53
PIAUI;5029;1
RIO DE JANEIRO;5029;38
RIO GRANDE DO NORTE;5029;3
RIO GRANDE DO SUL;5029;532
RONDONIA;5029;10
SANTA CATARINA;5029;530
SAO PAULO;5029;1916
SERGIPE;5029;3
TOCANTINS;5029;6
ACRE;5037;25
ALAGOAS;5037;38
AMAZONAS;5037;8
AMAPA;5037;17
BAHIA;5037;112
CEARA;5037;89
DISTRITO FEDERAL;5037;105
ESPIRITO SANTO;5037;63
GOIAS;5037;171
MARANHAO;5037;35
MATO GROSSO;5037;81
MATO GROSSO DO SUL;5037;54
MINAS GERAIS;5037;871
PARA;5037;48
PARAIBA;5037;35
PARANA;5037;188
