Cod_Infracao;UF;Quantidade
5002;ACRE;45
5002;ALAGOAS;82
5002;AMAZONAS;132
5002;AMAPA;9
5002;BAHIA;556
5002;CEARA;96
5002;DISTRITO FEDERAL;538
5002;ESPIRITO SANTO;672
5002;GOIAS;2265
5002;MARANHAO;67
5002;MATO GROSSO;1292
5002;MATO GROSSO DO SUL;1381
5002;MINAS GERAIS;16187
5002;PARA;208
5002;PARAIBA;33
5002;PARANA;8320
5002;PERNAMBUCO;202
5002;PIAUI;113
5002;RIO DE JANEIRO;1430
5002;RIO GRANDE DO NORTE;64
5002;RIO GRANDE DO SUL;7419
5002;RONDONIA;185
5002;RORAIMA;19
5002;SANTA CATARINA;13670
5002;SAO PAULO;94629
5002;SERGIPE;44
5002;TOCANTINS;125
5010;ACRE;600
5010;ALAGOAS;1108
5010;AMAZONAS;661
5010;AMAPA;493
5010;BAHIA;3190
5010;CEARA;1335
5010;DISTRITO FEDERAL;2191
5010;ESPIRITO SANTO;1365
5010;GOIAS;2442
5010;MARANHAO;4260
5010;MATO GROSSO;1982
5010;MATO GROSSO DO SUL;1087
5010;MINAS GERAIS;10464
5010;PARA;1196
5010;PARAIBA;1272
5010;PARANA;3362
5010;PERNAMBUCO;11131
5010;PIAUI;721
5010;RIO DE JANEIRO;1290
5010;RIO GRANDE DO NORTE;1179
5010;RIO GRANDE DO SUL;2708
5010;RONDONIA;1927
5010;RORAIMA;184
5010;SANTA CATARINA;3375
5010;SAO PAULO;15320
5010;SERGIPE;497
5010;TOCANTINS;169
5029;ACRE;9
5029;ALAGOAS;6
5029;AMAZONAS;8
5029;AMAPA;8
5029;BAHIA;16
5029;CEARA;4
5029;DISTRITO FEDERAL;44
5029;ESPIRITO SANTO;120
5029;GOIAS;29
5029;MARANHAO;8
5029;MATO GROSSO;2
5029;MATO GROSSO DO SUL;23
5029;MINAS GERAIS;331
5029;PARA;8
5029;PARAIBA;18
5029;PARANA;174
5029;PERNAMBUCO;95
5029;PIAUI;2
5029;RIO DE JANEIRO;61
5029;RIO GRANDE DO NORTE;4
5029;RIO GRANDE DO SUL;338
5029;RONDONIA;4
5029;SANTA CATARINA;498
5029;SAO PAULO;1702
5029;SERGIPE;8
5037;ACRE;28
5037;ALAGOAS;58
5037;AMAZONAS;59
5037;AMAPA;37
5037;BAHIA;124
5037;CEARA;92
5037;DISTRITO FEDERAL;109
5037;ESPIRITO SANTO;47
5037;GOIAS;171
5037;MARANHAO;95
5037;MATO GROSSO;61
5037;MATO GROSSO DO SUL;68
5037;MINAS GERAIS;786
5037;PARA;34
5037;PARAIBA;52
5037;PARANA;191
5037;PERNAMBUCO;231
5037;PIAUI;30
5037;RIO DE JANEIRO;95
5037;RIO GRANDE DO NORTE;40
5037;RIO GRANDE DO SUL;461
5037;RONDONIA;29
5037;RORAIMA;1
5037;SANTA CATARINA;145
5037;SAO PAULO;1142
5037;SERGIPE;22
5037;TOCANTINS;6
5045;ACRE;200
5045;ALAGOAS;78
5045;AMAZONAS;108
5045;AMAPA;107
5045;BAHIA;614
5045;CEARA;317
5045;DISTRITO FEDERAL;703
5045;ESPIRITO SANTO;255
5045;GOIAS;591
