UF;Cod_Infração;Quantidade
ACRE;5002;228
ALAGOAS;5002;1784
AMAZONAS;5002;3214
AMAPA;5002;566
BAHIA;5002;10157
CEARA;5002;11512
DISTRITO FEDERAL;5002;4387
ESPIRITO SANTO;5002;4119
GOIAS;5002;4832
MARANHAO;5002;4934
MATO GROSSO;5002;2465
MATO GROSSO DO SUL;5002;4325
MINAS GERAIS;5002;36413
PARA;5002;5042
PARAIBA;5002;1998
PARANA;5002;43608
PERNAMBUCO;5002;5420
PIAUI;5002;635
RIO DE JANEIRO;5002;2457
RIO GRANDE DO NORTE;5002;4032
RIO GRANDE DO SUL;5002;9904
RONDONIA;5002;1870
RORAIMA;5002;509
SANTA CATARINA;5002;20045
SAO PAULO;5002;70282
SERGIPE;5002;3150
TOCANTINS;5002;435
ACRE;5010;156
ALAGOAS;5010;237
AMAZONAS;5010;599
AMAPA;5010;186
BAHIA;5010;2763
CEARA;5010;994
DISTRITO FEDERAL;5010;592
ESPIRITO SANTO;5010;1114
GOIAS;5010;2724
MARANHAO;5010;624
MATO GROSSO;5010;1980
MATO GROSSO DO SUL;5010;1243
MINAS GERAIS;5010;9585
PARA;5010;1839
PARAIBA;5010;866
PARANA;5010;2646
PERNAMBUCO;5010;1794
PIAUI;5010;281
RIO DE JANEIRO;5010;3531
RIO GRANDE DO NORTE;5010;1142
RIO GRANDE DO SUL;5010;3250
RONDONIA;5010;1326
RORAIMA;5010;151
SANTA CATARINA;5010;2213
SAO PAULO;5010;11012
SERGIPE;5010;411
TOCANTINS;5010;231
ACRE;5029;1
ALAGOAS;5029;3
AMAZONAS;5029;8
BAHIA;5029;19
CEARA;5029;3
DISTRITO FEDERAL;5029;14
ESPIRITO SANTO;5029;78
GOIAS;5029;28
MARANHAO;5029;2
MATO GROSSO;5029;2
MATO GROSSO DO SUL;5029;30
MINAS GERAIS;5029;262
PARA;5029;13
PARAIBA;5029;4
PARANA;5029;468
PERNAMBUCO;5029;44
RIO DE JANEIRO;5029;220
RIO GRANDE DO NORTE;5029;5
RIO GRANDE DO SUL;5029;394
RONDONIA;5029;23
SANTA CATARINA;5029;460
SAO PAULO;5029;480
SERGIPE;5029;3
TOCANTINS;5029;1
ACRE;5037;3
ALAGOAS;5037;14
AMAZONAS;5037;59
AMAPA;5037;9
BAHIA;5037;102
CEARA;5037;77
DISTRITO FEDERAL;5037;35
ESPIRITO SANTO;5037;35
GOIAS;5037;149
MARANHAO;5037;26
MATO GROSSO;5037;34
MATO GROSSO DO SUL;5037;70
MINAS GERAIS;5037;748
PARA;5037;41
PARAIBA;5037;28
PARANA;5037;146
PERNAMBUCO;5037;50
PIAUI;5037;14
RIO DE JANEIRO;5037;337
RIO GRANDE DO NORTE;5037;32
RIO GRANDE DO SUL;5037;311
RONDONIA;5037;30
RORAIMA;5037;2
SANTA CATARINA;5037;68
SAO PAULO;5037;739
SERGIPE;5037;27
TOCANTINS;5037;9
ACRE;5045;75
ALAGOAS;5045;40
AMAZONAS;5045;163
AMAPA;5045;59
BAHIA;5045;773
CEARA;5045;385
DISTRITO FEDERAL;5045;455
ESPIRITO SANTO;5045;424
GOIAS;5045;916
MARANHAO;5045;120
MATO GROSSO;5045;290
MATO GROSSO DO SUL;5045;388
MINAS GERAIS;5045;1935
PARA;5045;358
PARAIBA;5045;127
PARANA;5045;682
PERNAMBUCO;5045;457
PIAUI;5045;72
RIO DE JANEIRO;5045;1184
RIO GRANDE DO NORTE;5045;192
RIO GRANDE DO SUL;5045;1074
RONDONIA;5045;324
RORAIMA;5045;24
SANTA CATARINA;5045;1048
SAO PAULO;5045;6925
SERGIPE;5045;107
TOCANTINS;5045;79
ACRE;5053;3
ALAGOAS;5053;4
AMAZONAS;5053;52
AMAPA;5053;1
BAHIA;5053;165
CEARA;5053;157
DISTRITO FEDERAL;5053;17
ESPIRITO SANTO;5053;15
GOIAS;5053;115
MARANHAO;5053;5
MATO GROSSO;5053;20
MATO GROSSO DO SUL;5053;18
