UF;Cod_Infração;Quantidade
ACRE;5002;16
ALAGOAS;5002;29
AMAZONAS;5002;3131
AMAPA;5002;9
BAHIA;5002;636
CEARA;5002;133
DISTRITO FEDERAL;5002;340
ESPIRITO SANTO;5002;586
GOIAS;5002;1167
MARANHAO;5002;71
MATO GROSSO;5002;601
MATO GROSSO DO SUL;5002;5261
MINAS GERAIS;5002;14819
PARA;5002;152
PARAIBA;5002;39
PARANA;5002;3738
PERNAMBUCO;5002;232
PIAUI;5002;49
RIO DE JANEIRO;5002;946
RIO GRANDE DO NORTE;5002;67
RIO GRANDE DO SUL;5002;9667
RONDONIA;5002;148
RORAIMA;5002;11
SANTA CATARINA;5002;12014
SAO PAULO;5002;41741
SERGIPE;5002;58
TOCANTINS;5002;94
ACRE;5010;104
ALAGOAS;5010;405
AMAZONAS;5010;565
AMAPA;5010;144
BAHIA;5010;2204
CEARA;5010;10710
DISTRITO FEDERAL;5010;352
ESPIRITO SANTO;5010;461
GOIAS;5010;645
MARANHAO;5010;2882
MATO GROSSO;5010;4345
MATO GROSSO DO SUL;5010;8133
MINAS GERAIS;5010;8467
PARA;5010;661
PARAIBA;5010;3802
PARANA;5010;1629
PERNAMBUCO;5010;1267
PIAUI;5010;873
RIO DE JANEIRO;5010;940
RIO GRANDE DO NORTE;5010;800
RIO GRANDE DO SUL;5010;4922
RONDONIA;5010;299
RORAIMA;5010;415
SANTA CATARINA;5010;5336
SAO PAULO;5010;1847
SERGIPE;5010;804
TOCANTINS;5010;154
ACRE;5029;2
ALAGOAS;5029;2
AMAZONAS;5029;5
AMAPA;5029;1
BAHIA;5029;22
CEARA;5029;45
DISTRITO FEDERAL;5029;6
ESPIRITO SANTO;5029;103
GOIAS;5029;9
MARANHAO;5029;4
MATO GROSSO;5029;16
MATO GROSSO DO SUL;5029;90
MINAS GERAIS;5029;336
PARA;5029;2
PARAIBA;5029;72
PARANA;5029;320
PERNAMBUCO;5029;15
RIO DE JANEIRO;5029;29
RIO GRANDE DO NORTE;5029;1
RIO GRANDE DO SUL;5029;1337
RONDONIA;5029;10
RORAIMA;5029;4
SANTA CATARINA;5029;496
SAO PAULO;5029;443
SERGIPE;5029;31
TOCANTINS;5029;1
ACRE;5037;6
ALAGOAS;5037;23
AMAZONAS;5037;27
AMAPA;5037;11
BAHIA;5037;120
CEARA;5037;535
DISTRITO FEDERAL;5037;18
ESPIRITO SANTO;5037;38
GOIAS;5037;66
MARANHAO;5037;54
MATO GROSSO;5037;112
MATO GROSSO DO SUL;5037;312
MINAS GERAIS;5037;686
PARA;5037;33
PARAIBA;5037;85
PARANA;5037;123
PERNAMBUCO;5037;63
PIAUI;5037;40
RIO DE JANEIRO;5037;95
RIO GRANDE DO NORTE;5037;35
RIO GRANDE DO SUL;5037;453
RONDONIA;5037;26
RORAIMA;5037;6
SANTA CATARINA;5037;213
SAO PAULO;5037;167
SERGIPE;5037;49
TOCANTINS;5037;4
ACRE;5045;79
ALAGOAS;5045;55
AMAZONAS;5045;157
AMAPA;5045;73
BAHIA;5045;626
CEARA;5045;2021
DISTRITO FEDERAL;5045;231
ESPIRITO SANTO;5045;235
GOIAS;5045;292
MARANHAO;5045;293
MATO GROSSO;5045;963
MATO GROSSO DO SUL;5045;1263
MINAS GERAIS;5045;1038
PARA;5045;227
PARAIBA;5045;307
PARANA;5045;480
PERNAMBUCO;5045;236
PIAUI;5045;196
RIO DE JANEIRO;5045;326
RIO GRANDE DO NORTE;5045;196
