UF;Cod_Infração;Quantidade
ACRE;5002;1
ALAGOAS;5002;2
AMAZONAS;5002;2
BAHIA;5002;11
CEARA;5002;2
DISTRITO FEDERAL;5002;15
ESPIRITO SANTO;5002;16
GOIAS;5002;34
MARANHAO;5002;1
MATO GROSSO;5002;23
MATO GROSSO DO SUL;5002;81
MINAS GERAIS;5002;1059
PARA;5002;1
PARANA;5002;642
PERNAMBUCO;5002;2
PIAUI;5002;6
RIO DE JANEIRO;5002;45
RIO GRANDE DO NORTE;5002;3
RIO GRANDE DO SUL;5002;398
RONDONIA;5002;8
SANTA CATARINA;5002;153
SAO PAULO;5002;2554
TOCANTINS;5002;5
ACRE;5010;823
ALAGOAS;5010;533
AMAZONAS;5010;6
AMAPA;5010;104
BAHIA;5010;293
CEARA;5010;104
DISTRITO FEDERAL;5010;558
ESPIRITO SANTO;5010;542
GOIAS;5010;5887
MARANHAO;5010;55
MATO GROSSO;5010;1499
MATO GROSSO DO SUL;5010;133
MINAS GERAIS;5010;709
PARA;5010;127
PARAIBA;5010;207
PARANA;5010;262
PERNAMBUCO;5010;10228
PIAUI;5010;51
RIO DE JANEIRO;5010;98
RIO GRANDE DO NORTE;5010;49
RIO GRANDE DO SUL;5010;3049
RONDONIA;5010;3114
RORAIMA;5010;5
SANTA CATARINA;5010;273
SAO PAULO;5010;14139
SERGIPE;5010;301
TOCANTINS;5010;61
ACRE;5029;9
ALAGOAS;5029;9
AMAPA;5029;1
BAHIA;5029;4
CEARA;5029;2
DISTRITO FEDERAL;5029;6
ESPIRITO SANTO;5029;44
GOIAS;5029;33
MARANHAO;5029;1
MATO GROSSO;5029;10
MATO GROSSO DO SUL;5029;5
MINAS GERAIS;5029;42
PARAIBA;5029;4
PARANA;5029;57
PERNAMBUCO;5029;110
RIO DE JANEIRO;5029;4
RIO GRANDE DO SUL;5029;752
RONDONIA;5029;8
SANTA CATARINA;5029;45
SAO PAULO;5029;1058
SERGIPE;5029;2
TOCANTINS;5029;2
ACRE;5037;30
ALAGOAS;5037;24
AMAZONAS;5037;1
AMAPA;5037;10
BAHIA;5037;23
CEARA;5037;2
DISTRITO FEDERAL;5037;15
ESPIRITO SANTO;5037;30
GOIAS;5037;298
MARANHAO;5037;5
MATO GROSSO;5037;40
MATO GROSSO DO SUL;5037;7
MINAS GERAIS;5037;37
PARA;5037;4
PARAIBA;5037;6
PARANA;5037;19
PERNAMBUCO;5037;283
PIAUI;5037;1
RIO DE JANEIRO;5037;5
RIO GRANDE DO NORTE;5037;1
RIO GRANDE DO SUL;5037;348
RONDONIA;5037;41
SANTA CATARINA;5037;16
SAO PAULO;5037;696
SERGIPE;5037;12
TOCANTINS;5037;4
ACRE;5045;414
ALAGOAS;5045;66
AMAZONAS;5045;2
AMAPA;5045;28
BAHIA;5045;79
CEARA;5045;24
DISTRITO FEDERAL;5045;187
ESPIRITO SANTO;5045;103
GOIAS;5045;1337
MARANHAO;5045;8
MATO GROSSO;5045;369
MATO GROSSO DO SUL;5045;35
MINAS GERAIS;5045;175
PARA;5045;25
PARAIBA;5045;53
PARANA;5045;68
PERNAMBUCO;5045;2352
PIAUI;5045;5
RIO DE JANEIRO;5045;16
RIO GRANDE DO NORTE;5045;21
RIO GRANDE DO SUL;5045;705
RONDONIA;5045;413
RORAIMA;5045;1
SANTA CATARINA;5045;98
SAO PAULO;5045;4387
SERGIPE;5045;50
TOCANTINS;5045;30
ACRE;5053;11
ALAGOAS;5053;24
BAHIA;5053;15
CEARA;5053;5
DISTRITO FEDERAL;5053;39
GOIAS;5053;381
MARANHAO;5053;4
MATO GROSSO;5053;14
MATO GROSSO DO SUL;5053;9
MINAS GERAIS;5053;39
PARA;5053;6
PARAIBA;5053;43
PARANA;5053;17
PERNAMBUCO;5053;939
PIAUI;5053;4
RIO DE JANEIRO;5053;4
RIO GRANDE DO NORTE;5053;20
RIO GRANDE DO SUL;5053;316
RONDONIA;5053;1
SANTA CATARINA;5053;18
SAO PAULO;5053;100
SERGIPE;5053;5
TOCANTINS;5053;6
ACRE;5061;33
ALAGOAS;5061;8
AMAPA;5061;3
BAHIA;5061;9
CEARA;5061;4
DISTRITO FEDERAL;5061;11
ESPIRITO SANTO;5061;37
GOIAS;5061;70
MARANHAO;5061;1
MATO GROSSO;5061;63
MATO GROSSO DO SUL;5061;4
MINAS GERAIS;5061;18
PARA;5061;4
PARAIBA;5061;3
PARANA;5061;9
PERNAMBUCO;5061;132
RIO DE JANEIRO;5061;3
RIO GRANDE DO NORTE;5061;1
RIO GRANDE DO SUL;5061;79
RONDONIA;5061;201
SANTA CATARINA;5061;16
SAO PAULO;5061;547
SERGIPE;5061;3
TOCANTINS;5061;1
ALAGOAS;5070;1
BAHIA;5070;1
ESPIRITO SANTO;5070;4
MINAS GERAIS;5070;1
PERNAMBUCO;5070;5
RIO GRANDE DO SUL;5070;32
RONDONIA;5070;1
SANTA CATARINA;5070;2
SAO PAULO;5070;26
BAHIA;5088;1
ESPIRITO SANTO;5088;2
GOIAS;5088;2
PERNAMBUCO;5088;6
RIO GRANDE DO SUL;5088;10
RONDONIA;5088;1
SAO PAULO;5088;20
ACRE;5096;8
ALAGOAS;5096;1
AMAPA;5096;1
BAHIA;5096;1
DISTRITO FEDERAL;5096;3
ESPIRITO SANTO;5096;2
GOIAS;5096;3
MATO GROSSO;5096;3
MATO GROSSO DO SUL;5096;1
MINAS GERAIS;5096;4
PERNAMBUCO;5096;34
RIO GRANDE DO SUL;5096;56
RONDONIA;5096;14
SANTA CATARINA;5096;7
SAO PAULO;5096;50
GOIAS;5100;1
RIO GRANDE DO SUL;5100;4
SANTA CATARINA;5100;1
SAO PAULO;5100;1
ACRE;5118;325
ALAGOAS;5118;92
AMAPA;5118;33
BAHIA;5118;51
CEARA;5118;37
DISTRITO FEDERAL;5118;14
ESPIRITO SANTO;5118;227
GOIAS;5118;22
MARANHAO;5118;4
MATO GROSSO;5118;67
MATO GROSSO DO SUL;5118;49
MINAS GERAIS;5118;169
PARA;5118;12
PARAIBA;5118;43
PARANA;5118;112
PERNAMBUCO;5118;2107
PIAUI;5118;6
RIO DE JANEIRO;5118;35
RIO GRANDE DO NORTE;5118;14
RIO GRANDE DO SUL;5118;1633
RONDONIA;5118;796
RORAIMA;5118;1
SANTA CATARINA;5118;125
SAO PAULO;5118;3310
SERGIPE;5118;9
ACRE;5126;4
BAHIA;5126;1
DISTRITO FEDERAL;5126;2
ESPIRITO SANTO;5126;5
GOIAS;5126;2
MATO GROSSO DO SUL;5126;2
MINAS GERAIS;5126;13
PARANA;5126;23
PERNAMBUCO;5126;7
PIAUI;5126;1
RIO GRANDE DO SUL;5126;245
RONDONIA;5126;7
SANTA CATARINA;5126;15
SAO PAULO;5126;162
ACRE;5134;6
AMAZONAS;5134;1
AMAPA;5134;1
BAHIA;5134;3
CEARA;5134;3
ESPIRITO SANTO;5134;8
GOIAS;5134;2
MATO GROSSO DO SUL;5134;2
MINAS GERAIS;5134;5
PARAIBA;5134;1
PARANA;5134;9
PERNAMBUCO;5134;21
RIO GRANDE DO NORTE;5134;1
RIO GRANDE DO SUL;5134;132
RONDONIA;5134;11
SANTA CATARINA;5134;5
SAO PAULO;5134;106
SERGIPE;5134;1
ACRE;5142;63
ALAGOAS;5142;3
AMAPA;5142;3
BAHIA;5142;13
CEARA;5142;3
DISTRITO FEDERAL;5142;2
ESPIRITO SANTO;5142;7
GOIAS;5142;4
MATO GROSSO;5142;3
MATO GROSSO DO SUL;5142;7
MINAS GERAIS;5142;22
PARA;5142;1
PARAIBA;5142;5
PARANA;5142;27
PERNAMBUCO;5142;145
RIO DE JANEIRO;5142;1
RIO GRANDE DO NORTE;5142;2
RIO GRANDE DO SUL;5142;301
RONDONIA;5142;105
SANTA CATARINA;5142;31
SAO PAULO;5142;509
ACRE;5150;2
BAHIA;5150;2
ESPIRITO SANTO;5150;1
MINAS GERAIS;5150;5
PARA;5150;1
PARAIBA;5150;5
PARANA;5150;4
PERNAMBUCO;5150;15
RIO GRANDE DO SUL;5150;141
SANTA CATARINA;5150;5
SAO PAULO;5150;8
ACRE;5169;336
ALAGOAS;5169;42
AMAZONAS;5169;1
AMAPA;5169;120
BAHIA;5169;67
CEARA;5169;7
DISTRITO FEDERAL;5169;72
ESPIRITO SANTO;5169;34
GOIAS;5169;456
MARANHAO;5169;7
MATO GROSSO;5169;464
MATO GROSSO DO SUL;5169;16
MINAS GERAIS;5169;187
PARA;5169;8
PARAIBA;5169;27
PARANA;5169;53
PERNAMBUCO;5169;1019
PIAUI;5169;6
RIO DE JANEIRO;5169;5
RIO GRANDE DO NORTE;5169;7
RIO GRANDE DO SUL;5169;204
RONDONIA;5169;791
SANTA CATARINA;5169;43
SAO PAULO;5169;1286
SERGIPE;5169;217
TOCANTINS;5169;4
ACRE;5177;23
DISTRITO FEDERAL;5177;1
ESPIRITO SANTO;5177;1
GOIAS;5177;1
MATO GROSSO;5177;1
MATO GROSSO DO SUL;5177;1
MINAS GERAIS;5177;3
PARANA;5177;4
PERNAMBUCO;5177;13
RIO GRANDE DO SUL;5177;18
RONDONIA;5177;8
SANTA CATARINA;5177;2
SAO PAULO;5177;70
ACRE;5185;292
ALAGOAS;5185;904
AMAZONAS;5185;104
AMAPA;5185;267
BAHIA;5185;2513
CEARA;5185;306
DISTRITO FEDERAL;5185;1948
ESPIRITO SANTO;5185;6813
GOIAS;5185;37643
MARANHAO;5185;180
MATO GROSSO;5185;8608
MATO GROSSO DO SUL;5185;391
MINAS GERAIS;5185;3933
PARA;5185;446
PARAIBA;5185;494
PARANA;5185;1075
PERNAMBUCO;5185;13257
PIAUI;5185;363
RIO DE JANEIRO;5185;487
RIO GRANDE DO NORTE;5185;1320
RIO GRANDE DO SUL;5185;17472
RONDONIA;5185;1022
RORAIMA;5185;23
SANTA CATARINA;5185;1464
SAO PAULO;5185;54611
SERGIPE;5185;122
TOCANTINS;5185;571
ACRE;5193;28
ALAGOAS;5193;47
AMAZONAS;5193;3
AMAPA;5193;13
BAHIA;5193;68
CEARA;5193;8
DISTRITO FEDERAL;5193;111
ESPIRITO SANTO;5193;128
GOIAS;5193;587
MARANHAO;5193;5
MATO GROSSO;5193;179
MATO GROSSO DO SUL;5193;30
MINAS GERAIS;5193;170
PARA;5193;38
