UF;Cod_Infração;Quantidade
ACRE;5002;102
ALAGOAS;5002;103
AMAZONAS;5002;259
AMAPA;5002;19
BAHIA;5002;1766
CEARA;5002;409
DISTRITO FEDERAL;5002;1309
ESPIRITO SANTO;5002;1794
GOIAS;5002;5189
MARANHAO;5002;318
MATO GROSSO;5002;2691
MATO GROSSO DO SUL;5002;4075
MINAS GERAIS;5002;33789
PARA;5002;655
PARAIBA;5002;106
PARANA;5002;20216
PERNAMBUCO;5002;680
PIAUI;5002;198
RIO DE JANEIRO;5002;4338
RIO GRANDE DO NORTE;5002;207
RIO GRANDE DO SUL;5002;5469
RONDONIA;5002;458
RORAIMA;5002;45
SANTA CATARINA;5002;12392
SAO PAULO;5002;157539
SERGIPE;5002;115
TOCANTINS;5002;454
ACRE;5010;230
ALAGOAS;5010;1679
AMAZONAS;5010;1398
AMAPA;5010;663
BAHIA;5010;5688
CEARA;5010;2949
DISTRITO FEDERAL;5010;1705
ESPIRITO SANTO;5010;2573
GOIAS;5010;3463
MARANHAO;5010;2405
MATO GROSSO;5010;3657
MATO GROSSO DO SUL;5010;1387
MINAS GERAIS;5010;22387
PARA;5010;2171
PARAIBA;5010;2922
PARANA;5010;7401
PERNAMBUCO;5010;3628
PIAUI;5010;3536
RIO DE JANEIRO;5010;5336
RIO GRANDE DO NORTE;5010;3650
RIO GRANDE DO SUL;5010;3419
RONDONIA;5010;2441
RORAIMA;5010;636
SANTA CATARINA;5010;10773
SAO PAULO;5010;6712
SERGIPE;5010;2068
TOCANTINS;5010;799
ACRE;5029;1
ALAGOAS;5029;2
AMAZONAS;5029;16
BAHIA;5029;28
CEARA;5029;9
DISTRITO FEDERAL;5029;27
ESPIRITO SANTO;5029;263
GOIAS;5029;53
MARANHAO;5029;3
MATO GROSSO;5029;20
MATO GROSSO DO SUL;5029;57
MINAS GERAIS;5029;816
PARA;5029;7
PARAIBA;5029;32
PARANA;5029;762
PERNAMBUCO;5029;19
PIAUI;5029;3
