UF;Cod_Infracao;Quantidade
ACRE;5002;25
ALAGOAS;5002;19
AMAZONAS;5002;118
AMAPA;5002;11
BAHIA;5002;229
CEARA;5002;55
DISTRITO FEDERAL;5002;127
ESPIRITO SANTO;5002;146
GOIAS;5002;383
MARANHAO;5002;31
MATO GROSSO;5002;353
MATO GROSSO DO SUL;5002;275
MINAS GERAIS;5002;14135
PARA;5002;63
PARAIBA;5002;11
PARANA;5002;59195
PERNAMBUCO;5002;98
PIAUI;5002;14
RIO DE JANEIRO;5002;499
RIO GRANDE DO NORTE;5002;30
RIO GRANDE DO SUL;5002;1223
RONDONIA;5002;58
RORAIMA;5002;6
SANTA CATARINA;5002;6417
SAO PAULO;5002;10895
SERGIPE;5002;15
TOCANTINS;5002;37
ACRE;5010;3
ALAGOAS;5010;45
AMAZONAS;5010;1002
AMAPA;5010;28
BAHIA;5010;364
CEARA;5010;156
DISTRITO FEDERAL;5010;282
ESPIRITO SANTO;5010;395
GOIAS;5010;367
MARANHAO;5010;106
MATO GROSSO;5010;69
MATO GROSSO DO SUL;5010;72
MINAS GERAIS;5010;33770
PARA;5010;83
PARAIBA;5010;120
PARANA;5010;2311
PERNAMBUCO;5010;119
PIAUI;5010;68
RIO DE JANEIRO;5010;247
RIO GRANDE DO NORTE;5010;507
RIO GRANDE DO SUL;5010;103
RONDONIA;5010;34
RORAIMA;5010;1010
SANTA CATARINA;5010;5986
SAO PAULO;5010;1514
SERGIPE;5010;189
TOCANTINS;5010;13
AMAZONAS;5029;13
BAHIA;5029;10
DISTRITO FEDERAL;5029;6
ESPIRITO SANTO;5029;27
GOIAS;5029;13
MARANHAO;5029;1
MATO GROSSO;5029;4
MATO GROSSO DO SUL;5029;3
MINAS GERAIS;5029;1143
PARA;5029;3
PARANA;5029;121
PERNAMBUCO;5029;6
PIAUI;5029;1
RIO DE JANEIRO;5029;15
RIO GRANDE DO SUL;5029;40
RONDONIA;5029;2
RORAIMA;5029;3
SANTA CATARINA;5029;459
SAO PAULO;5029;487
SERGIPE;5029;1
ACRE;5037;2
ALAGOAS;5037;5
AMAZONAS;5037;98
AMAPA;5037;5
BAHIA;5037;34
CEARA;5037;6
DISTRITO FEDERAL;5037;21
ESPIRITO SANTO;5037;25
GOIAS;5037;30
MARANHAO;5037;3
MATO GROSSO;5037;6
MATO GROSSO DO SUL;5037;12
MINAS GERAIS;5037;2723
PARA;5037;3
PARAIBA;5037;7
PARANA;5037;126
PERNAMBUCO;5037;8
PIAUI;5037;6
RIO DE JANEIRO;5037;23
RIO GRANDE DO NORTE;5037;10
RIO GRANDE DO SUL;5037;13
RONDONIA;5037;4
RORAIMA;5037;18
SANTA CATARINA;5037;163
SAO PAULO;5037;135
SERGIPE;5037;6
TOCANTINS;5037;1
ACRE;5045;2
ALAGOAS;5045;6
AMAZONAS;5045;115
AMAPA;5045;5
BAHIA;5045;69
CEARA;5045;13
DISTRITO FEDERAL;5045;109
ESPIRITO SANTO;5045;95
GOIAS;5045;74
MARANHAO;5045;8
MATO GROSSO;5045;13
MATO GROSSO DO SUL;5045;19
MINAS GERAIS;5045;3601
PARA;5045;23
PARAIBA;5045;16
PARANA;5045;213
PERNAMBUCO;5045;33
PIAUI;5045;6
RIO DE JANEIRO;5045;87
RIO GRANDE DO NORTE;5045;44
RIO GRANDE DO SUL;5045;36
RONDONIA;5045;4
RORAIMA;5045;66
SANTA CATARINA;5045;1642
SAO PAULO;5045;613
SERGIPE;5045;16
TOCANTINS;5045;7
ACRE;5053;1
AMAZONAS;5053;25
AMAPA;5053;2
BAHIA;5053;55
CEARA;5053;6
DISTRITO FEDERAL;5053;35
ESPIRITO SANTO;5053;35
GOIAS;5053;37
MARANHAO;5053;1
MATO GROSSO;5053;5
MATO GROSSO DO SUL;5053;5
MINAS GERAIS;5053;1240
PARA;5053;4
PARAIBA;5053;4
PARANA;5053;21
PERNAMBUCO;5053;25
RIO DE JANEIRO;5053;14
RIO GRANDE DO NORTE;5053;10
RIO GRANDE DO SUL;5053;18
RONDONIA;5053;3
SANTA CATARINA;5053;103
SAO PAULO;5053;223
SERGIPE;5053;1
ALAGOAS;5061;1
AMAZONAS;5061;18
BAHIA;5061;7
CEARA;5061;8
DISTRITO FEDERAL;5061;3
ESPIRITO SANTO;5061;6
GOIAS;5061;4
MARANHAO;5061;1
MATO GROSSO;5061;12
