Cod_Infracao;UF;Quantidade
5002;ACRE;17
5002;ALAGOAS;58
5002;AMAZONAS;103
5002;AMAPA;6
5002;BAHIA;206
5002;CEARA;54
5002;DISTRITO FEDERAL;143
5002;ESPIRITO SANTO;298
5002;GOIAS;521
5002;MARANHAO;72
5002;MATO GROSSO;319
5002;MATO GROSSO DO SUL;1964
5002;MINAS GERAIS;21117
5002;PARA;74
5002;PARAIBA;13
5002;PARANA;32459
5002;PERNAMBUCO;95
5002;PIAUI;12
5002;RIO DE JANEIRO;855
5002;RIO GRANDE DO NORTE;41
5002;RIO GRANDE DO SUL;11730
5002;RONDONIA;57
5002;RORAIMA;3
5002;SANTA CATARINA;9943
5002;SAO PAULO;42992
5002;SERGIPE;38
5002;TOCANTINS;51
5010;ACRE;491
5010;ALAGOAS;417
5010;AMAZONAS;776
5010;AMAPA;374
5010;BAHIA;4550
5010;CEARA;2211
5010;DISTRITO FEDERAL;1401
5010;ESPIRITO SANTO;1288
5010;GOIAS;2790
5010;MARANHAO;650
5010;MATO GROSSO;1844
5010;MATO GROSSO DO SUL;1049
5010;MINAS GERAIS;10933
5010;PARA;1383
5010;PARAIBA;818
5010;PARANA;2855
5010;PERNAMBUCO;1351
5010;PIAUI;358
5010;RIO DE JANEIRO;2489
5010;RIO GRANDE DO NORTE;590
5010;RIO GRANDE DO SUL;10996
5010;RONDONIA;896
5010;RORAIMA;315
5010;SANTA CATARINA;2981
5010;SAO PAULO;11635
5010;SERGIPE;559
5010;TOCANTINS;228
5029;ACRE;5
5029;ALAGOAS;4
5029;AMAZONAS;9
5029;AMAPA;1
5029;BAHIA;19
5029;CEARA;16
5029;DISTRITO FEDERAL;18
5029;ESPIRITO SANTO;78
5029;GOIAS;24
5029;MARANHAO;5
5029;MATO GROSSO;10
5029;MATO GROSSO DO SUL;71
5029;MINAS GERAIS;317
5029;PARA;4
5029;PARAIBA;9
5029;PARANA;407
5029;PERNAMBUCO;37
5029;PIAUI;3
5029;RIO DE JANEIRO;130
5029;RIO GRANDE DO NORTE;8
5029;RIO GRANDE DO SUL;616
5029;RONDONIA;18
5029;RORAIMA;1
5029;SANTA CATARINA;627
5029;SAO PAULO;547
5029;SERGIPE;4
5029;TOCANTINS;2
5037;ACRE;18
5037;ALAGOAS;30
5037;AMAZONAS;46
5037;AMAPA;22
5037;BAHIA;159
5037;CEARA;109
5037;DISTRITO FEDERAL;43
5037;ESPIRITO SANTO;49
5037;GOIAS;203
5037;MARANHAO;35
5037;MATO GROSSO;44
5037;MATO GROSSO DO SUL;58
5037;MINAS GERAIS;836
5037;PARA;32
5037;PARAIBA;29
5037;PARANA;230
5037;PERNAMBUCO;54
5037;PIAUI;20
5037;RIO DE JANEIRO;202
5037;RIO GRANDE DO NORTE;31
5037;RIO GRANDE DO SUL;998
5037;RONDONIA;10
5037;RORAIMA;8
5037;SANTA CATARINA;124
5037;SAO PAULO;796
5037;SERGIPE;31
5037;TOCANTINS;12
5045;ACRE;365
5045;ALAGOAS;63
5045;AMAZONAS;142
5045;AMAPA;160
5045;BAHIA;1073
5045;CEARA;743
5045;DISTRITO FEDERAL;1121
