UF;Cod_Infracao;Quantidade
ALAGOAS;5002;14
AMAZONAS;5002;11
AMAPA;5002;1
BAHIA;5002;239
CEARA;5002;31
DISTRITO FEDERAL;5002;68
ESPIRITO SANTO;5002;113
GOIAS;5002;151
MARANHAO;5002;9
MATO GROSSO;5002;34
MATO GROSSO DO SUL;5002;43
MINAS GERAIS;5002;1307
PARA;5002;17
PARAIBA;5002;7
PARANA;5002;2479
PERNAMBUCO;5002;51
PIAUI;5002;2
RIO DE JANEIRO;5002;161
RIO GRANDE DO NORTE;5002;18
RIO GRANDE DO SUL;5002;354
RONDONIA;5002;10
RORAIMA;5002;2
SANTA CATARINA;5002;493
SAO PAULO;5002;5640
SERGIPE;5002;11
TOCANTINS;5002;7
ACRE;5010;370
ALAGOAS;5010;744
AMAZONAS;5010;13
AMAPA;5010;304
BAHIA;5010;80
CEARA;5010;425
DISTRITO FEDERAL;5010;1229
ESPIRITO SANTO;5010;119
GOIAS;5010;3513
MARANHAO;5010;22
MATO GROSSO;5010;44
MATO GROSSO DO SUL;5010;47
MINAS GERAIS;5010;291
PARA;5010;43
PARAIBA;5010;127
PARANA;5010;114
PERNAMBUCO;5010;333
PIAUI;5010;35
RIO DE JANEIRO;5010;44
RIO GRANDE DO NORTE;5010;52
RIO GRANDE DO SUL;5010;336
RONDONIA;5010;11
RORAIMA;5010;6
SANTA CATARINA;5010;195
SAO PAULO;5010;530
SERGIPE;5010;32
TOCANTINS;5010;21
ACRE;5029;5
ALAGOAS;5029;8
AMAPA;5029;3
CEARA;5029;1
DISTRITO FEDERAL;5029;25
ESPIRITO SANTO;5029;13
GOIAS;5029;26
MATO GROSSO;5029;5
MATO GROSSO DO SUL;5029;3
MINAS GERAIS;5029;12
PARAIBA;5029;1
PARANA;5029;16
PERNAMBUCO;5029;3
RIO DE JANEIRO;5029;5
RIO GRANDE DO SUL;5029;82
RONDONIA;5029;1
SANTA CATARINA;5029;8
SAO PAULO;5029;64
ACRE;5037;8
ALAGOAS;5037;42
AMAPA;5037;12
BAHIA;5037;6
CEARA;5037;34
DISTRITO FEDERAL;5037;37
ESPIRITO SANTO;5037;8
GOIAS;5037;197
MARANHAO;5037;1
MATO GROSSO;5037;4
MINAS GERAIS;5037;32
PARA;5037;5
PARAIBA;5037;1
PARANA;5037;3
PERNAMBUCO;5037;7
PIAUI;5037;3
RIO DE JANEIRO;5037;3
RIO GRANDE DO NORTE;5037;1
RIO GRANDE DO SUL;5037;37
SANTA CATARINA;5037;8
SAO PAULO;5037;45
SERGIPE;5037;1
ACRE;5045;118
ALAGOAS;5045;71
AMAZONAS;5045;2
AMAPA;5045;93
BAHIA;5045;11
CEARA;5045;134
DISTRITO FEDERAL;5045;446
ESPIRITO SANTO;5045;12
GOIAS;5045;784
MARANHAO;5045;4
MATO GROSSO;5045;18
MATO GROSSO DO SUL;5045;9
MINAS GERAIS;5045;33
PARA;5045;7
PARAIBA;5045;4
PARANA;5045;21
PERNAMBUCO;5045;34
PIAUI;5045;5
RIO DE JANEIRO;5045;7
RIO GRANDE DO NORTE;5045;4
RIO GRANDE DO SUL;5045;70
RONDONIA;5045;4
RORAIMA;5045;1
SANTA CATARINA;5045;32
SAO PAULO;5045;139
SERGIPE;5045;6
TOCANTINS;5045;9
ACRE;5053;6
ALAGOAS;5053;7
AMAPA;5053;2
BAHIA;5053;4
CEARA;5053;6
DISTRITO FEDERAL;5053;19
ESPIRITO SANTO;5053;3
GOIAS;5053;250
MATO GROSSO;5053;5
MATO GROSSO DO SUL;5053;4
MINAS GERAIS;5053;10
PARA;5053;1
PARAIBA;5053;4
PARANA;5053;1
PERNAMBUCO;5053;24
RIO DE JANEIRO;5053;2
RIO GRANDE DO SUL;5053;35
SANTA CATARINA;5053;2
SAO PAULO;5053;13
SERGIPE;5053;1
TOCANTINS;5053;4
ACRE;5061;17
ALAGOAS;5061;20
AMAZONAS;5061;2
BAHIA;5061;7
CEARA;5061;17
DISTRITO FEDERAL;5061;29
ESPIRITO SANTO;5061;1
GOIAS;5061;31
MATO GROSSO;5061;3
MINAS GERAIS;5061;6
PARA;5061;3
PARAIBA;5061;5
PERNAMBUCO;5061;11
PIAUI;5061;4
RIO DE JANEIRO;5061;2
RIO GRANDE DO NORTE;5061;2
RIO GRANDE DO SUL;5061;17
SANTA CATARINA;5061;7
SAO PAULO;5061;23
SERGIPE;5061;1
TOCANTINS;5061;1
ESPIRITO SANTO;5070;1
MATO GROSSO DO SUL;5070;1
PARANA;5070;1
RIO GRANDE DO SUL;5070;5
SAO PAULO;5070;1
ALAGOAS;5088;2
CEARA;5088;3
DISTRITO FEDERAL;5088;1
PARA;5088;1
PARANA;5088;1
PERNAMBUCO;5088;1
RONDONIA;5088;1
SAO PAULO;5088;1
ACRE;5096;6
ALAGOAS;5096;2
AMAPA;5096;1
CEARA;5096;3
DISTRITO FEDERAL;5096;2
GOIAS;5096;1
MATO GROSSO;5096;1
MINAS GERAIS;5096;1
PARA;5096;2
PIAUI;5096;1
RIO DE JANEIRO;5096;1
RIO GRANDE DO SUL;5096;2
SANTA CATARINA;5096;1
SAO PAULO;5096;4
GOIAS;5100;1
RIO GRANDE DO SUL;5100;1
ACRE;5118;230
ALAGOAS;5118;199
AMAZONAS;5118;1
AMAPA;5118;109
BAHIA;5118;17
CEARA;5118;249
DISTRITO FEDERAL;5118;36
ESPIRITO SANTO;5118;58
GOIAS;5118;16
MARANHAO;5118;2
MATO GROSSO;5118;1
MATO GROSSO DO SUL;5118;5
MINAS GERAIS;5118;41
PARA;5118;14
PARAIBA;5118;27
PARANA;5118;81
PERNAMBUCO;5118;52
PIAUI;5118;12
RIO DE JANEIRO;5118;15
RIO GRANDE DO NORTE;5118;5
RIO GRANDE DO SUL;5118;157
RONDONIA;5118;3
RORAIMA;5118;7
SANTA CATARINA;5118;113
SAO PAULO;5118;152
SERGIPE;5118;16
ACRE;5126;5
AMAPA;5126;3
CEARA;5126;1
ESPIRITO SANTO;5126;4
MATO GROSSO;5126;1
MINAS GERAIS;5126;2
PARANA;5126;8
RIO GRANDE DO SUL;5126;36
SANTA CATARINA;5126;5
SAO PAULO;5126;9
ACRE;5134;1
ALAGOAS;5134;2
AMAPA;5134;5
BAHIA;5134;1
CEARA;5134;24
DISTRITO FEDERAL;5134;2
ESPIRITO SANTO;5134;3
MARANHAO;5134;1
MATO GROSSO;5134;1
MATO GROSSO DO SUL;5134;1
MINAS GERAIS;5134;3
PARA;5134;1
PARANA;5134;1
PIAUI;5134;1
RIO GRANDE DO SUL;5134;17
SANTA CATARINA;5134;3
SAO PAULO;5134;7
SERGIPE;5134;1
TOCANTINS;5134;1
ACRE;5142;23
ALAGOAS;5142;3
AMAZONAS;5142;2
AMAPA;5142;22
CEARA;5142;60
DISTRITO FEDERAL;5142;2
ESPIRITO SANTO;5142;4
GOIAS;5142;1
MATO GROSSO;5142;1
MINAS GERAIS;5142;4
PARA;5142;3
PARAIBA;5142;1
PARANA;5142;6
PERNAMBUCO;5142;1
PIAUI;5142;1
RIO DE JANEIRO;5142;2
RIO GRANDE DO NORTE;5142;1
RIO GRANDE DO SUL;5142;34
RORAIMA;5142;1
SANTA CATARINA;5142;17
SAO PAULO;5142;22
SERGIPE;5142;2
ACRE;5150;1
CEARA;5150;3
RIO GRANDE DO SUL;5150;12
ACRE;5169;113
ALAGOAS;5169;69
AMAZONAS;5169;3
AMAPA;5169;34
BAHIA;5169;12
CEARA;5169;8
DISTRITO FEDERAL;5169;46
ESPIRITO SANTO;5169;18
GOIAS;5169;300
MATO GROSSO;5169;10
MATO GROSSO DO SUL;5169;12
MINAS GERAIS;5169;92
PARA;5169;18
PARAIBA;5169;13
PARANA;5169;51
PERNAMBUCO;5169;84
PIAUI;5169;9
