UF;Cod_Infracao;Quantidade
ACRE;5002;34
ALAGOAS;5002;203
AMAZONAS;5002;213
AMAPA;5002;8
BAHIA;5002;949
CEARA;5002;222
DISTRITO FEDERAL;5002;427
ESPIRITO SANTO;5002;914
GOIAS;5002;4286
MARANHAO;5002;116
MATO GROSSO;5002;821
MATO GROSSO DO SUL;5002;2608
MINAS GERAIS;5002;31281
PARA;5002;208
PARAIBA;5002;64
PARANA;5002;33583
PERNAMBUCO;5002;462
PIAUI;5002;33
RIO DE JANEIRO;5002;1995
RIO GRANDE DO NORTE;5002;104
RIO GRANDE DO SUL;5002;12581
RONDONIA;5002;168
RORAIMA;5002;23
SANTA CATARINA;5002;16646
SAO PAULO;5002;134344
SERGIPE;5002;71
TOCANTINS;5002;139
ACRE;5010;929
ALAGOAS;5010;1117
AMAZONAS;5010;684
AMAPA;5010;1395
BAHIA;5010;2783
CEARA;5010;4312
DISTRITO FEDERAL;5010;4438
ESPIRITO SANTO;5010;837
GOIAS;5010;18799
MARANHAO;5010;596
MATO GROSSO;5010;2028
MATO GROSSO DO SUL;5010;1106
MINAS GERAIS;5010;11836
PARA;5010;514
PARAIBA;5010;1905
PARANA;5010;2994
PERNAMBUCO;5010;2116
PIAUI;5010;504
RIO DE JANEIRO;5010;936
RIO GRANDE DO NORTE;5010;3029
RIO GRANDE DO SUL;5010;5741
RONDONIA;5010;1290
RORAIMA;5010;213
SANTA CATARINA;5010;3594
SAO PAULO;5010;15932
SERGIPE;5010;369
TOCANTINS;5010;248
ACRE;5029;14
ALAGOAS;5029;6
AMAZONAS;5029;8
AMAPA;5029;16
BAHIA;5029;12
CEARA;5029;20
DISTRITO FEDERAL;5029;87
ESPIRITO SANTO;5029;41
GOIAS;5029;94
MARANHAO;5029;1
MATO GROSSO;5029;9
MATO GROSSO DO SUL;5029;21
MINAS GERAIS;5029;375
PARA;5029;4
PARAIBA;5029;28
PARANA;5029;174
PERNAMBUCO;5029;28
PIAUI;5029;1
RIO DE JANEIRO;5029;42
RIO GRANDE DO NORTE;5029;3
RIO GRANDE DO SUL;5029;731
RONDONIA;5029;7
RORAIMA;5029;1
SANTA CATARINA;5029;466
SAO PAULO;5029;1351
SERGIPE;5029;10
TOCANTINS;5029;1
ACRE;5037;23
ALAGOAS;5037;59
AMAZONAS;5037;61
AMAPA;5037;82
BAHIA;5037;139
CEARA;5037;238
DISTRITO FEDERAL;5037;160
ESPIRITO SANTO;5037;55
GOIAS;5037;1272
MARANHAO;5037;33
MATO GROSSO;5037;85
MATO GROSSO DO SUL;5037;71
MINAS GERAIS;5037;940
PARA;5037;22
PARAIBA;5037;37
PARANA;5037;190
PERNAMBUCO;5037;109
PIAUI;5037;22
RIO DE JANEIRO;5037;75
RIO GRANDE DO NORTE;5037;56
RIO GRANDE DO SUL;5037;856
RONDONIA;5037;12
RORAIMA;5037;2
SANTA CATARINA;5037;125
SAO PAULO;5037;961
SERGIPE;5037;25
TOCANTINS;5037;21
ACRE;5045;216
ALAGOAS;5045;81
AMAZONAS;5045;81
AMAPA;5045;525
BAHIA;5045;508
CEARA;5045;520
DISTRITO FEDERAL;5045;1624
ESPIRITO SANTO;5045;168
GOIAS;5045;3685
MARANHAO;5045;62
MATO GROSSO;5045;213
MATO GROSSO DO SUL;5045;200
MINAS GERAIS;5045;2610
PARA;5045;89
PARAIBA;5045;96
PARANA;5045;748
PERNAMBUCO;5045;492
PIAUI;5045;61
RIO DE JANEIRO;5045;157
RIO GRANDE DO NORTE;5045;310
RIO GRANDE DO SUL;5045;1108
RONDONIA;5045;98
RORAIMA;5045;24
SANTA CATARINA;5045;1730
SAO PAULO;5045;3349
SERGIPE;5045;68
TOCANTINS;5045;78
ACRE;5053;10
ALAGOAS;5053;22
AMAZONAS;5053;31
AMAPA;5053;6
BAHIA;5053;143
CEARA;5053;194
DISTRITO FEDERAL;5053;210
ESPIRITO SANTO;5053;16
GOIAS;5053;1823
MARANHAO;5053;6
MATO GROSSO;5053;96
MATO GROSSO DO SUL;5053;47
MINAS GERAIS;5053;455
PARA;5053;24
PARAIBA;5053;54
PARANA;5053;94
PERNAMBUCO;5053;152
PIAUI;5053;12
RIO DE JANEIRO;5053;38
RIO GRANDE DO NORTE;5053;39
RIO GRANDE DO SUL;5053;140
RONDONIA;5053;19
RORAIMA;5053;2
SANTA CATARINA;5053;133
SAO PAULO;5053;216
SERGIPE;5053;7
TOCANTINS;5053;25
ACRE;5061;29
ALAGOAS;5061;25
AMAZONAS;5061;15
AMAPA;5061;11
BAHIA;5061;163
CEARA;5061;142
DISTRITO FEDERAL;5061;114
ESPIRITO SANTO;5061;20
GOIAS;5061;165
MARANHAO;5061;13
MATO GROSSO;5061;32
MATO GROSSO DO SUL;5061;22
MINAS GERAIS;5061;167
PARA;5061;6
PARAIBA;5061;115
PARANA;5061;81
PERNAMBUCO;5061;58
PIAUI;5061;9
RIO DE JANEIRO;5061;19
RIO GRANDE DO NORTE;5061;35
RIO GRANDE DO SUL;5061;81
RONDONIA;5061;44
RORAIMA;5061;6
SANTA CATARINA;5061;130
SAO PAULO;5061;426
