UF;Cod_Infracao;Quantidade
ACRE;5002;116
ALAGOAS;5002;136
AMAZONAS;5002;382
AMAPA;5002;15
BAHIA;5002;2064
CEARA;5002;505
DISTRITO FEDERAL;5002;1425
ESPIRITO SANTO;5002;1889
GOIAS;5002;5850
MARANHAO;5002;368
MATO GROSSO;5002;3327
MATO GROSSO DO SUL;5002;4557
MINAS GERAIS;5002;42013
PARA;5002;784
PARAIBA;5002;136
PARANA;5002;55012
PERNAMBUCO;5002;873
PIAUI;5002;180
RIO DE JANEIRO;5002;5079
RIO GRANDE DO NORTE;5002;238
RIO GRANDE DO SUL;5002;7251
RONDONIA;5002;593
RORAIMA;5002;29
SANTA CATARINA;5002;18372
SAO PAULO;5002;156495
SERGIPE;5002;142
TOCANTINS;5002;422
ACRE;5010;38
ALAGOAS;5010;254
AMAZONAS;5010;1546
AMAPA;5010;185
BAHIA;5010;4241
CEARA;5010;470
DISTRITO FEDERAL;5010;412
ESPIRITO SANTO;5010;567
GOIAS;5010;741
MARANHAO;5010;508
MATO GROSSO;5010;600
MATO GROSSO DO SUL;5010;334
MINAS GERAIS;5010;28451
PARA;5010;394
PARAIBA;5010;546
PARANA;5010;12806
PERNAMBUCO;5010;811
PIAUI;5010;526
RIO DE JANEIRO;5010;757
RIO GRANDE DO NORTE;5010;989
RIO GRANDE DO SUL;5010;710
RONDONIA;5010;268
RORAIMA;5010;640
SANTA CATARINA;5010;7371
SAO PAULO;5010;2252
SERGIPE;5010;389
TOCANTINS;5010;89
ALAGOAS;5029;4
AMAZONAS;5029;27
AMAPA;5029;1
BAHIA;5029;11
CEARA;5029;4
DISTRITO FEDERAL;5029;9
ESPIRITO SANTO;5029;41
GOIAS;5029;13
MARANHAO;5029;2
MATO GROSSO;5029;6
MATO GROSSO DO SUL;5029;17
MINAS GERAIS;5029;1050
PARA;5029;2
PARANA;5029;543
PERNAMBUCO;5029;12
PIAUI;5029;1
RIO DE JANEIRO;5029;14
RIO GRANDE DO NORTE;5029;1
RIO GRANDE DO SUL;5029;89
RONDONIA;5029;7
RORAIMA;5029;1
SANTA CATARINA;5029;611
SAO PAULO;5029;431
SERGIPE;5029;8
ACRE;5037;4
ALAGOAS;5037;26
AMAZONAS;5037;120
AMAPA;5037;18
BAHIA;5037;161
CEARA;5037;30
DISTRITO FEDERAL;5037;27
ESPIRITO SANTO;5037;35
GOIAS;5037;67
MARANHAO;5037;33
MATO GROSSO;5037;51
MATO GROSSO DO SUL;5037;41
MINAS GERAIS;5037;2449
PARA;5037;20
PARAIBA;5037;30
PARANA;5037;610
PERNAMBUCO;5037;49
PIAUI;5037;25
RIO DE JANEIRO;5037;78
RIO GRANDE DO NORTE;5037;40
RIO GRANDE DO SUL;5037;75
RONDONIA;5037;12
RORAIMA;5037;19
SANTA CATARINA;5037;235
SAO PAULO;5037;202
SERGIPE;5037;28
TOCANTINS;5037;10
ACRE;5045;23
ALAGOAS;5045;22
AMAZONAS;5045;193
AMAPA;5045;50
BAHIA;5045;863
CEARA;5045;52
DISTRITO FEDERAL;5045;150
ESPIRITO SANTO;5045;216
GOIAS;5045;195
MARANHAO;5045;54
MATO GROSSO;5045;149
MATO GROSSO DO SUL;5045;105
MINAS GERAIS;5045;3986
PARA;5045;58
PARAIBA;5045;62
PARANA;5045;1331
PERNAMBUCO;5045;112
PIAUI;5045;49
RIO DE JANEIRO;5045;207
RIO GRANDE DO NORTE;5045;96
RIO GRANDE DO SUL;5045;123
RONDONIA;5045;55
RORAIMA;5045;64
SANTA CATARINA;5045;2539
