UF;Cod_Infracao;Quantidade
ACRE;5002;13
ALAGOAS;5002;68
AMAZONAS;5002;151
AMAPA;5002;12
BAHIA;5002;425
CEARA;5002;3627
DISTRITO FEDERAL;5002;249
ESPIRITO SANTO;5002;447
GOIAS;5002;858
MARANHAO;5002;115
MATO GROSSO;5002;506
MATO GROSSO DO SUL;5002;3018
MINAS GERAIS;5002;24979
PARA;5002;112
PARAIBA;5002;98
PARANA;5002;35503
PERNAMBUCO;5002;388
PIAUI;5002;83
RIO DE JANEIRO;5002;1219
RIO GRANDE DO NORTE;5002;182
RIO GRANDE DO SUL;5002;7518
RONDONIA;5002;368
RORAIMA;5002;9
SANTA CATARINA;5002;12480
SAO PAULO;5002;78790
SERGIPE;5002;455
TOCANTINS;5002;45
ACRE;5010;424
ALAGOAS;5010;1041
AMAZONAS;5010;640
AMAPA;5010;387
BAHIA;5010;4811
CEARA;5010;1610
DISTRITO FEDERAL;5010;1430
ESPIRITO SANTO;5010;1354
GOIAS;5010;5007
MARANHAO;5010;1673
MATO GROSSO;5010;2491
MATO GROSSO DO SUL;5010;1363
MINAS GERAIS;5010;12019
PARA;5010;1042
PARAIBA;5010;1014
PARANA;5010;3189
PERNAMBUCO;5010;2006
PIAUI;5010;580
RIO DE JANEIRO;5010;3124
RIO GRANDE DO NORTE;5010;1162
RIO GRANDE DO SUL;5010;4770
RONDONIA;5010;1553
RORAIMA;5010;385
SANTA CATARINA;5010;2728
SAO PAULO;5010;13588
SERGIPE;5010;364
TOCANTINS;5010;382
ACRE;5029;7
ALAGOAS;5029;13
AMAZONAS;5029;6
AMAPA;5029;5
BAHIA;5029;19
CEARA;5029;11
DISTRITO FEDERAL;5029;25
ESPIRITO SANTO;5029;76
GOIAS;5029;32
MARANHAO;5029;2
MATO GROSSO;5029;17
MATO GROSSO DO SUL;5029;77
MINAS GERAIS;5029;352
PARA;5029;5
PARAIBA;5029;7
PARANA;5029;709
PERNAMBUCO;5029;40
RIO DE JANEIRO;5029;139
RIO GRANDE DO NORTE;5029;7
RIO GRANDE DO SUL;5029;605
RONDONIA;5029;24
RORAIMA;5029;1
SANTA CATARINA;5029;719
SAO PAULO;5029;749
SERGIPE;5029;3
TOCANTINS;5029;2
ACRE;5037;14
ALAGOAS;5037;53
AMAZONAS;5037;54
AMAPA;5037;19
BAHIA;5037;185
CEARA;5037;85
DISTRITO FEDERAL;5037;65
ESPIRITO SANTO;5037;53
GOIAS;5037;276
MARANHAO;5037;56
MATO GROSSO;5037;76
MATO GROSSO DO SUL;5037;64
MINAS GERAIS;5037;913
PARA;5037;29
PARAIBA;5037;45
PARANA;5037;227
PERNAMBUCO;5037;74
PIAUI;5037;41
RIO DE JANEIRO;5037;270
RIO GRANDE DO NORTE;5037;30
RIO GRANDE DO SUL;5037;566
RONDONIA;5037;27
RORAIMA;5037;16
SANTA CATARINA;5037;102
SAO PAULO;5037;1010
SERGIPE;5037;13
TOCANTINS;5037;10
ACRE;5045;259
ALAGOAS;5045;177
AMAZONAS;5045;157
AMAPA;5045;149
BAHIA;5045;1506
CEARA;5045;596
DISTRITO FEDERAL;5045;914
ESPIRITO SANTO;5045;459
GOIAS;5045;1849
MARANHAO;5045;292
MATO GROSSO;5045;472
MATO GROSSO DO SUL;5045;509
MINAS GERAIS;5045;2830
PARA;5045;200
PARAIBA;5045;211
PARANA;5045;924
PERNAMBUCO;5045;631
PIAUI;5045;182
RIO DE JANEIRO;5045;1072
RIO GRANDE DO NORTE;5045;272
RIO GRANDE DO SUL;5045;2172
RONDONIA;5045;394
RORAIMA;5045;91
SANTA CATARINA;5045;1510
SAO PAULO;5045;9097
SERGIPE;5045;131
TOCANTINS;5045;143
ACRE;5053;5
ALAGOAS;5053;48
AMAZONAS;5053;34
AMAPA;5053;4
BAHIA;5053;429
CEARA;5053;206
DISTRITO FEDERAL;5053;36
ESPIRITO SANTO;5053;16
GOIAS;5053;260
MARANHAO;5053;5
MATO GROSSO;5053;39
MATO GROSSO DO SUL;5053;37
MINAS GERAIS;5053;234
PARA;5053;15
PARAIBA;5053;38
PARANA;5053;96
PERNAMBUCO;5053;198
PIAUI;5053;17
RIO DE JANEIRO;5053;35
RIO GRANDE DO NORTE;5053;47
RIO GRANDE DO SUL;5053;142
RONDONIA;5053;17
RORAIMA;5053;6
