UF;Cod_Infracao;Quantidade
ACRE;5002;206
ALAGOAS;5002;194
AMAZONAS;5002;423
AMAPA;5002;15
BAHIA;5002;3124
CEARA;5002;760
DISTRITO FEDERAL;5002;2173
ESPIRITO SANTO;5002;2909
GOIAS;5002;9093
MARANHAO;5002;530
MATO GROSSO;5002;5428
MATO GROSSO DO SUL;5002;7269
MINAS GERAIS;5002;57929
PARA;5002;1152
PARAIBA;5002;224
PARANA;5002;80281
PERNAMBUCO;5002;1197
PIAUI;5002;373
RIO DE JANEIRO;5002;7591
RIO GRANDE DO NORTE;5002;359
RIO GRANDE DO SUL;5002;10298
RONDONIA;5002;885
RORAIMA;5002;67
SANTA CATARINA;5002;23381
SAO PAULO;5002;211179
SERGIPE;5002;198
TOCANTINS;5002;751
ACRE;5010;21
ALAGOAS;5010;120
AMAZONAS;5010;409
AMAPA;5010;35
BAHIA;5010;628
CEARA;5010;185
DISTRITO FEDERAL;5010;157
ESPIRITO SANTO;5010;198
GOIAS;5010;321
MARANHAO;5010;150
MATO GROSSO;5010;197
MATO GROSSO DO SUL;5010;154
MINAS GERAIS;5010;15960
PARA;5010;163
PARAIBA;5010;169
PARANA;5010;8730
PERNAMBUCO;5010;376
PIAUI;5010;203
RIO DE JANEIRO;5010;1111
RIO GRANDE DO NORTE;5010;163
RIO GRANDE DO SUL;5010;302
RONDONIA;5010;111
RORAIMA;5010;240
SANTA CATARINA;5010;2530
SAO PAULO;5010;2246
SERGIPE;5010;102
TOCANTINS;5010;33
ACRE;5029;1
AMAZONAS;5029;5
BAHIA;5029;6
CEARA;5029;4
DISTRITO FEDERAL;5029;6
ESPIRITO SANTO;5029;15
GOIAS;5029;6
MARANHAO;5029;1
MATO GROSSO;5029;2
MATO GROSSO DO SUL;5029;6
MINAS GERAIS;5029;597
PARA;5029;2
PARAIBA;5029;3
PARANA;5029;705
PERNAMBUCO;5029;6
PIAUI;5029;1
RIO DE JANEIRO;5029;157
RIO GRANDE DO NORTE;5029;2
RIO GRANDE DO SUL;5029;61
RONDONIA;5029;2
SANTA CATARINA;5029;154
SAO PAULO;5029;485
SERGIPE;5029;2
ALAGOAS;5037;2
AMAZONAS;5037;29
AMAPA;5037;3
BAHIA;5037;34
CEARA;5037;6
DISTRITO FEDERAL;5037;13
ESPIRITO SANTO;5037;6
GOIAS;5037;33
MARANHAO;5037;5
MATO GROSSO;5037;11
MATO GROSSO DO SUL;5037;12
MINAS GERAIS;5037;1259
PARA;5037;11
PARAIBA;5037;15
PARANA;5037;407
PERNAMBUCO;5037;23
PIAUI;5037;10
RIO DE JANEIRO;5037;98
RIO GRANDE DO NORTE;5037;5
RIO GRANDE DO SUL;5037;41
RONDONIA;5037;8
RORAIMA;5037;6
SANTA CATARINA;5037;84
SAO PAULO;5037;260
SERGIPE;5037;7
TOCANTINS;5037;4
ACRE;5045;9
ALAGOAS;5045;5
AMAZONAS;5045;30
AMAPA;5045;11
BAHIA;5045;102
CEARA;5045;22
DISTRITO FEDERAL;5045;50
ESPIRITO SANTO;5045;40
GOIAS;5045;82
MARANHAO;5045;22
MATO GROSSO;5045;37
MATO GROSSO DO SUL;5045;37
MINAS GERAIS;5045;2255
PARA;5045;36
PARAIBA;5045;18
PARANA;5045;1025
PERNAMBUCO;5045;61
PIAUI;5045;18
RIO DE JANEIRO;5045;276
RIO GRANDE DO NORTE;5045;21
RIO GRANDE DO SUL;5045;61
RONDONIA;5045;19
RORAIMA;5045;39
SANTA CATARINA;5045;657
SAO PAULO;5045;1121
SERGIPE;5045;11
TOCANTINS;5045;10
ACRE;5053;1
ALAGOAS;5053;5
AMAZONAS;5053;12
BAHIA;5053;54
CEARA;5053;4
DISTRITO FEDERAL;5053;8
ESPIRITO SANTO;5053;10
GOIAS;5053;13
MARANHAO;5053;1
MATO GROSSO;5053;5
MATO GROSSO DO SUL;5053;6
MINAS GERAIS;5053;508
PARA;5053;2
PARAIBA;5053;5
PARANA;5053;40
PERNAMBUCO;5053;38
PIAUI;5053;2
RIO DE JANEIRO;5053;18
RIO GRANDE DO NORTE;5053;13
RIO GRANDE DO SUL;5053;24
RONDONIA;5053;4
RORAIMA;5053;1
SANTA CATARINA;5053;77
SAO PAULO;5053;148
SERGIPE;5053;6
TOCANTINS;5053;1
ACRE;5061;1
ALAGOAS;5061;1
AMAZONAS;5061;4
AMAPA;5061;1
BAHIA;5061;21
CEARA;5061;8
DISTRITO FEDERAL;5061;5
ESPIRITO SANTO;5061;6
GOIAS;5061;9
MARANHAO;5061;2
MATO GROSSO;5061;19
MATO GROSSO DO SUL;5061;10
MINAS GERAIS;5061;193
PARA;5061;12
PARAIBA;5061;8
PARANA;5061;177
PERNAMBUCO;5061;10
RIO DE JANEIRO;5061;12
RIO GRANDE DO NORTE;5061;1
RIO GRANDE DO SUL;5061;15
RONDONIA;5061;5
RORAIMA;5061;3
SANTA CATARINA;5061;123
SAO PAULO;5061;81
SERGIPE;5061;6
TOCANTINS;5061;2
DISTRITO FEDERAL;5070;1
MINAS GERAIS;5070;10
PARAIBA;5070;1
PARANA;5070;21
PERNAMBUCO;5070;1
RIO DE JANEIRO;5070;1
RIO GRANDE DO SUL;5070;10
SANTA CATARINA;5070;4
SAO PAULO;5070;16
AMAPA;5088;1
BAHIA;5088;1
DISTRITO FEDERAL;5088;1
GOIAS;5088;3
MATO GROSSO;5088;3
MATO GROSSO DO SUL;5088;1
MINAS GERAIS;5088;20
PARANA;5088;13
RIO DE JANEIRO;5088;2
RIO GRANDE DO SUL;5088;3
RONDONIA;5088;1
SANTA CATARINA;5088;6
SAO PAULO;5088;5
BAHIA;5096;2
DISTRITO FEDERAL;5096;4
GOIAS;5096;1
MARANHAO;5096;1
MATO GROSSO;5096;3
MINAS GERAIS;5096;24
PARA;5096;2
PARANA;5096;34
PERNAMBUCO;5096;4
PIAUI;5096;1
RIO DE JANEIRO;5096;3
RIO GRANDE DO NORTE;5096;1
RIO GRANDE DO SUL;5096;18
SANTA CATARINA;5096;25
SAO PAULO;5096;32
GOIAS;5100;1
MATO GROSSO DO SUL;5100;1
MINAS GERAIS;5100;2
PARANA;5100;1
PERNAMBUCO;5100;1
SAO PAULO;5100;7
SERGIPE;5100;1
ACRE;5118;2
ALAGOAS;5118;21
AMAZONAS;5118;105
AMAPA;5118;10
BAHIA;5118;101
CEARA;5118;73
DISTRITO FEDERAL;5118;23
ESPIRITO SANTO;5118;57
GOIAS;5118;49
MARANHAO;5118;13
MATO GROSSO;5118;41
MATO GROSSO DO SUL;5118;39
MINAS GERAIS;5118;2538
PARA;5118;50
PARAIBA;5118;66
PARANA;5118;6451
PERNAMBUCO;5118;167
PIAUI;5118;30
RIO DE JANEIRO;5118;127
RIO GRANDE DO NORTE;5118;45
RIO GRANDE DO SUL;5118;150
RONDONIA;5118;14
RORAIMA;5118;25
SANTA CATARINA;5118;1158
SAO PAULO;5118;1034
SERGIPE;5118;39
TOCANTINS;5118;5
ALAGOAS;5126;1
BAHIA;5126;2
CEARA;5126;1
DISTRITO FEDERAL;5126;1
ESPIRITO SANTO;5126;2
MATO GROSSO DO SUL;5126;2
MINAS GERAIS;5126;84
PARA;5126;1
PARAIBA;5126;1
PARANA;5126;452
PERNAMBUCO;5126;1
RIO DE JANEIRO;5126;9
RIO GRANDE DO NORTE;5126;1
RIO GRANDE DO SUL;5126;16
RONDONIA;5126;1
RORAIMA;5126;1
SANTA CATARINA;5126;54
SAO PAULO;5126;155
AMAZONAS;5134;1
BAHIA;5134;6
CEARA;5134;2
DISTRITO FEDERAL;5134;2
ESPIRITO SANTO;5134;2
GOIAS;5134;7
MARANHAO;5134;2
MATO GROSSO;5134;2
MATO GROSSO DO SUL;5134;1
MINAS GERAIS;5134;228
PARA;5134;4
PARAIBA;5134;3
PARANA;5134;173
PERNAMBUCO;5134;10
RIO DE JANEIRO;5134;13
RIO GRANDE DO SUL;5134;15
RONDONIA;5134;1
SANTA CATARINA;5134;32
SAO PAULO;5134;93
SERGIPE;5134;3
TOCANTINS;5134;1
ACRE;5142;1
ALAGOAS;5142;2
AMAPA;5142;5
BAHIA;5142;9
CEARA;5142;5
DISTRITO FEDERAL;5142;3
ESPIRITO SANTO;5142;2
GOIAS;5142;16
MARANHAO;5142;1
MATO GROSSO;5142;6
MATO GROSSO DO SUL;5142;9
MINAS GERAIS;5142;289
PARA;5142;6
PARAIBA;5142;3
PARANA;5142;428
PERNAMBUCO;5142;15
PIAUI;5142;2
RIO DE JANEIRO;5142;33
RIO GRANDE DO NORTE;5142;2
RIO GRANDE DO SUL;5142;25
RONDONIA;5142;1
SANTA CATARINA;5142;113
SAO PAULO;5142;396
SERGIPE;5142;4
