UF;Cod_Infracao;Quantidade
ACRE;5002;13
ALAGOAS;5002;132
AMAZONAS;5002;84
AMAPA;5002;8
BAHIA;5002;834
CEARA;5002;135
DISTRITO FEDERAL;5002;276
ESPIRITO SANTO;5002;689
GOIAS;5002;757
MARANHAO;5002;56
MATO GROSSO;5002;397
MATO GROSSO DO SUL;5002;2362
MINAS GERAIS;5002;31578
PARA;5002;124
PARAIBA;5002;37
PARANA;5002;26653
PERNAMBUCO;5002;255
PIAUI;5002;26
RIO DE JANEIRO;5002;1063
RIO GRANDE DO NORTE;5002;64
RIO GRANDE DO SUL;5002;28555
RONDONIA;5002;87
RORAIMA;5002;5
SANTA CATARINA;5002;15079
SAO PAULO;5002;50196
SERGIPE;5002;52
TOCANTINS;5002;70
ACRE;5010;853
ALAGOAS;5010;692
AMAZONAS;5010;140
AMAPA;5010;355
BAHIA;5010;2452
CEARA;5010;1097
DISTRITO FEDERAL;5010;571
ESPIRITO SANTO;5010;836
GOIAS;5010;830
MARANHAO;5010;731
MATO GROSSO;5010;1851
MATO GROSSO DO SUL;5010;995
MINAS GERAIS;5010;11628
PARA;5010;2796
PARAIBA;5010;483
PARANA;5010;2742
PERNAMBUCO;5010;1578
PIAUI;5010;425
RIO DE JANEIRO;5010;2561
RIO GRANDE DO NORTE;5010;920
RIO GRANDE DO SUL;5010;19907
RONDONIA;5010;337
RORAIMA;5010;38
SANTA CATARINA;5010;3092
SAO PAULO;5010;12378
SERGIPE;5010;295
TOCANTINS;5010;221
ACRE;5029;20
ALAGOAS;5029;5
AMAZONAS;5029;3
AMAPA;5029;2
BAHIA;5029;14
CEARA;5029;7
DISTRITO FEDERAL;5029;7
ESPIRITO SANTO;5029;129
GOIAS;5029;10
MARANHAO;5029;2
MATO GROSSO;5029;8
MATO GROSSO DO SUL;5029;61
MINAS GERAIS;5029;374
PARA;5029;7
PARAIBA;5029;18
PARANA;5029;169
PERNAMBUCO;5029;39
PIAUI;5029;3
RIO DE JANEIRO;5029;140
RIO GRANDE DO NORTE;5029;6
RIO GRANDE DO SUL;5029;1115
RONDONIA;5029;10
SANTA CATARINA;5029;609
SAO PAULO;5029;936
SERGIPE;5029;8
TOCANTINS;5029;2
ACRE;5037;23
ALAGOAS;5037;24
AMAZONAS;5037;13
AMAPA;5037;20
BAHIA;5037;109
CEARA;5037;80
DISTRITO FEDERAL;5037;31
ESPIRITO SANTO;5037;41
GOIAS;5037;87
MARANHAO;5037;31
MATO GROSSO;5037;51
MATO GROSSO DO SUL;5037;48
MINAS GERAIS;5037;952
PARA;5037;46
PARAIBA;5037;23
PARANA;5037;194
PERNAMBUCO;5037;60
PIAUI;5037;17
RIO DE JANEIRO;5037;233
RIO GRANDE DO NORTE;5037;28
RIO GRANDE DO SUL;5037;1784
RONDONIA;5037;12
SANTA CATARINA;5037;122
SAO PAULO;5037;910
SERGIPE;5037;15
TOCANTINS;5037;14
