UF;Cod_Infracao;Quantidade
ACRE;5002;8
ALAGOAS;5002;51
AMAZONAS;5002;75
AMAPA;5002;4
BAHIA;5002;180
CEARA;5002;59
DISTRITO FEDERAL;5002;123
ESPIRITO SANTO;5002;291
GOIAS;5002;403
MARANHAO;5002;28
MATO GROSSO;5002;228
MATO GROSSO DO SUL;5002;2308
MINAS GERAIS;5002;16020
PARA;5002;51
PARAIBA;5002;17
PARANA;5002;20059
PERNAMBUCO;5002;89
PIAUI;5002;15
RIO DE JANEIRO;5002;973
RIO GRANDE DO NORTE;5002;35
RIO GRANDE DO SUL;5002;5920
RONDONIA;5002;46
RORAIMA;5002;3
SANTA CATARINA;5002;11620
SAO PAULO;5002;43179
SERGIPE;5002;29
TOCANTINS;5002;30
ACRE;5010;523
ALAGOAS;5010;377
AMAZONAS;5010;338
AMAPA;5010;301
BAHIA;5010;1898
CEARA;5010;774
DISTRITO FEDERAL;5010;501
ESPIRITO SANTO;5010;1491
GOIAS;5010;811
MARANHAO;5010;577
MATO GROSSO;5010;1655
MATO GROSSO DO SUL;5010;939
MINAS GERAIS;5010;10852
PARA;5010;1485
PARAIBA;5010;342
PARANA;5010;2408
PERNAMBUCO;5010;1870
PIAUI;5010;315
RIO DE JANEIRO;5010;5330
RIO GRANDE DO NORTE;5010;710
RIO GRANDE DO SUL;5010;2054
RONDONIA;5010;1669
RORAIMA;5010;31
SANTA CATARINA;5010;2377
SAO PAULO;5010;12420
SERGIPE;5010;384
TOCANTINS;5010;178
ACRE;5029;9
ALAGOAS;5029;5
AMAZONAS;5029;3
AMAPA;5029;2
BAHIA;5029;15
CEARA;5029;3
DISTRITO FEDERAL;5029;3
ESPIRITO SANTO;5029;119
GOIAS;5029;16
MARANHAO;5029;1
MATO GROSSO;5029;5
MATO GROSSO DO SUL;5029;40
MINAS GERAIS;5029;325
PARA;5029;8
PARAIBA;5029;4
PARANA;5029;166
PERNAMBUCO;5029;55
PIAUI;5029;2
RIO DE JANEIRO;5029;287
RIO GRANDE DO NORTE;5029;1
RIO GRANDE DO SUL;5029;228
RONDONIA;5029;11
RORAIMA;5029;1
SANTA CATARINA;5029;531
SAO PAULO;5029;745
SERGIPE;5029;4
TOCANTINS;5029;4
ACRE;5037;18
ALAGOAS;5037;20
AMAZONAS;5037;36
AMAPA;5037;18
BAHIA;5037;80
CEARA;5037;46
DISTRITO FEDERAL;5037;27
ESPIRITO SANTO;5037;74
GOIAS;5037;53
MARANHAO;5037;32
MATO GROSSO;5037;38
MATO GROSSO DO SUL;5037;51
MINAS GERAIS;5037;781
PARA;5037;36
PARAIBA;5037;20
PARANA;5037;148
PERNAMBUCO;5037;73
PIAUI;5037;12
RIO DE JANEIRO;5037;390
RIO GRANDE DO NORTE;5037;22
RIO GRANDE DO SUL;5037;387
RONDONIA;5037;18
RORAIMA;5037;2
SANTA CATARINA;5037;87
SAO PAULO;5037;801
SERGIPE;5037;11
TOCANTINS;5037;8
ACRE;5045;342
ALAGOAS;5045;40
AMAZONAS;5045;88
AMAPA;5045;126
BAHIA;5045;634
CEARA;5045;278
DISTRITO FEDERAL;5045;344
ESPIRITO SANTO;5045;423
GOIAS;5045;253
MARANHAO;5045;139
MATO GROSSO;5045;165
MATO GROSSO DO SUL;5045;299
MINAS GERAIS;5045;2527
PARA;5045;276
PARAIBA;5045;113
PARANA;5045;718
PERNAMBUCO;5045;845
PIAUI;5045;50
RIO DE JANEIRO;5045;1186
RIO GRANDE DO NORTE;5045;128
RIO GRANDE DO SUL;5045;1111
RONDONIA;5045;277
RORAIMA;5045;17
SANTA CATARINA;5045;1243
SAO PAULO;5045;5089
SERGIPE;5045;110
TOCANTINS;5045;51
ACRE;5053;6
ALAGOAS;5053;20
AMAZONAS;5053;10
AMAPA;5053;3
BAHIA;5053;107
CEARA;5053;63
DISTRITO FEDERAL;5053;12
ESPIRITO SANTO;5053;18
GOIAS;5053;42
MARANHAO;5053;2
MATO GROSSO;5053;15
MATO GROSSO DO SUL;5053;28
MINAS GERAIS;5053;251
PARA;5053;39
PARAIBA;5053;22
PARANA;5053;63
PERNAMBUCO;5053;262
PIAUI;5053;13
RIO DE JANEIRO;5053;44
RIO GRANDE DO NORTE;5053;27
RIO GRANDE DO SUL;5053;64
RONDONIA;5053;12
RORAIMA;5053;3
SANTA CATARINA;5053;90
SAO PAULO;5053;262
SERGIPE;5053;11
TOCANTINS;5053;8
ACRE;5061;26
ALAGOAS;5061;9
AMAZONAS;5061;3
AMAPA;5061;2
BAHIA;5061;99
CEARA;5061;25
DISTRITO FEDERAL;5061;13
ESPIRITO SANTO;5061;46
GOIAS;5061;12
MARANHAO;5061;6
MATO GROSSO;5061;21
MATO GROSSO DO SUL;5061;27
MINAS GERAIS;5061;123
PARA;5061;31
PARAIBA;5061;15
PARANA;5061;62
PERNAMBUCO;5061;33
PIAUI;5061;4
RIO DE JANEIRO;5061;60
RIO GRANDE DO NORTE;5061;10
RIO GRANDE DO SUL;5061;49
RONDONIA;5061;70
RORAIMA;5061;2
SANTA CATARINA;5061;95
SAO PAULO;5061;405
SERGIPE;5061;8
TOCANTINS;5061;8
ESPIRITO SANTO;5070;5
MINAS GERAIS;5070;3
PARANA;5070;5
RIO GRANDE DO NORTE;5070;1
RIO GRANDE DO SUL;5070;10
SANTA CATARINA;5070;12
SAO PAULO;5070;16
ACRE;5088;1
ALAGOAS;5088;1
AMAZONAS;5088;1
BAHIA;5088;4
CEARA;5088;2
DISTRITO FEDERAL;5088;1
ESPIRITO SANTO;5088;5
GOIAS;5088;1
MATO GROSSO;5088;3
MATO GROSSO DO SUL;5088;1
MINAS GERAIS;5088;11
PARA;5088;2
