UF;Cod_Infracao;Quantidade
ACRE;5002;1
ALAGOAS;5002;16
BAHIA;5002;7
CEARA;5002;1
DISTRITO FEDERAL;5002;2
ESPIRITO SANTO;5002;7
GOIAS;5002;4
MARANHAO;5002;2
MATO GROSSO;5002;3
MATO GROSSO DO SUL;5002;55
MINAS GERAIS;5002;135
PARA;5002;6
PARANA;5002;67
PERNAMBUCO;5002;2
RIO DE JANEIRO;5002;36
RIO GRANDE DO NORTE;5002;1
RIO GRANDE DO SUL;5002;182
SANTA CATARINA;5002;265
SAO PAULO;5002;1199
TOCANTINS;5002;1
ACRE;5010;529
ALAGOAS;5010;535
AMAZONAS;5010;10
AMAPA;5010;13
BAHIA;5010;2346
CEARA;5010;533
DISTRITO FEDERAL;5010;247
ESPIRITO SANTO;5010;3551
GOIAS;5010;3234
MARANHAO;5010;36
MATO GROSSO;5010;143
MATO GROSSO DO SUL;5010;18
MINAS GERAIS;5010;1752
PARA;5010;92
PARAIBA;5010;11
PARANA;5010;199
PERNAMBUCO;5010;100
PIAUI;5010;12
RIO DE JANEIRO;5010;117
RIO GRANDE DO NORTE;5010;8
RIO GRANDE DO SUL;5010;555
RONDONIA;5010;196
RORAIMA;5010;8
SANTA CATARINA;5010;873
SAO PAULO;5010;7529
SERGIPE;5010;652
TOCANTINS;5010;24
ACRE;5029;18
ALAGOAS;5029;5
AMAZONAS;5029;1
AMAPA;5029;1
BAHIA;5029;10
DISTRITO FEDERAL;5029;7
ESPIRITO SANTO;5029;618
GOIAS;5029;17
MATO GROSSO;5029;4
MATO GROSSO DO SUL;5029;1
MINAS GERAIS;5029;77
PARANA;5029;49
PERNAMBUCO;5029;2
RIO DE JANEIRO;5029;10
RIO GRANDE DO SUL;5029;181
RONDONIA;5029;4
SANTA CATARINA;5029;90
SAO PAULO;5029;1192
SERGIPE;5029;3
ACRE;5037;18
ALAGOAS;5037;14
AMAZONAS;5037;1
BAHIA;5037;65
CEARA;5037;34
DISTRITO FEDERAL;5037;10
ESPIRITO SANTO;5037;170
GOIAS;5037;188
MARANHAO;5037;2
MATO GROSSO;5037;3
MATO GROSSO DO SUL;5037;1
MINAS GERAIS;5037;110
PARA;5037;3
PARAIBA;5037;2
PARANA;5037;14
PERNAMBUCO;5037;2
RIO DE JANEIRO;5037;5
RIO GRANDE DO SUL;5037;63
RONDONIA;5037;3
SANTA CATARINA;5037;29
SAO PAULO;5037;510
SERGIPE;5037;21
TOCANTINS;5037;3
ACRE;5045;209
ALAGOAS;5045;61
AMAZONAS;5045;4
AMAPA;5045;2
BAHIA;5045;447
CEARA;5045;186
DISTRITO FEDERAL;5045;91
ESPIRITO SANTO;5045;661
GOIAS;5045;1110
MARANHAO;5045;5
MATO GROSSO;5045;25
MATO GROSSO DO SUL;5045;15
MINAS GERAIS;5045;223
PARA;5045;9
PARAIBA;5045;2
PARANA;5045;54
PERNAMBUCO;5045;18
PIAUI;5045;3
RIO DE JANEIRO;5045;18
RIO GRANDE DO NORTE;5045;3
RIO GRANDE DO SUL;5045;150
RONDONIA;5045;26
RORAIMA;5045;1
SANTA CATARINA;5045;324
SAO PAULO;5045;3730
SERGIPE;5045;93
TOCANTINS;5045;11
ACRE;5053;12
ALAGOAS;5053;16
BAHIA;5053;36
CEARA;5053;2
DISTRITO FEDERAL;5053;10
ESPIRITO SANTO;5053;2
GOIAS;5053;110
MARANHAO;5053;1
MATO GROSSO;5053;4
MATO GROSSO DO SUL;5053;7
MINAS GERAIS;5053;24
PARA;5053;3
PARANA;5053;2
PERNAMBUCO;5053;4
PIAUI;5053;1
RIO DE JANEIRO;5053;2
RIO GRANDE DO NORTE;5053;1
RIO GRANDE DO SUL;5053;24
SANTA CATARINA;5053;15
SAO PAULO;5053;75
SERGIPE;5053;2
ACRE;5061;37
ALAGOAS;5061;8
AMAZONAS;5061;1
AMAPA;5061;1
BAHIA;5061;128
CEARA;5061;19
DISTRITO FEDERAL;5061;4
ESPIRITO SANTO;5061;91
GOIAS;5061;49
MARANHAO;5061;2
MATO GROSSO;5061;4
MINAS GERAIS;5061;24
PARA;5061;10
PARANA;5061;6
PERNAMBUCO;5061;4
RIO DE JANEIRO;5061;3
RIO GRANDE DO SUL;5061;21
RONDONIA;5061;12
SANTA CATARINA;5061;42
SAO PAULO;5061;244
SERGIPE;5061;14
ACRE;5070;1
DISTRITO FEDERAL;5070;1
ESPIRITO SANTO;5070;7
PARANA;5070;1
RIO GRANDE DO SUL;5070;12
SANTA CATARINA;5070;4
SAO PAULO;5070;19
SERGIPE;5070;1
ACRE;5088;2
BAHIA;5088;6
CEARA;5088;3
DISTRITO FEDERAL;5088;1
ESPIRITO SANTO;5088;5
GOIAS;5088;1
MINAS GERAIS;5088;3
RIO GRANDE DO SUL;5088;5
RORAIMA;5088;1
SAO PAULO;5088;10
ACRE;5096;1
ALAGOAS;5096;1
BAHIA;5096;14
CEARA;5096;6
ESPIRITO SANTO;5096;7
GOIAS;5096;8
MARANHAO;5096;1
MINAS GERAIS;5096;4
PERNAMBUCO;5096;1
RIO DE JANEIRO;5096;2
RIO GRANDE DO SUL;5096;23
SANTA CATARINA;5096;12
SAO PAULO;5096;36
SERGIPE;5096;1
BAHIA;5100;2
GOIAS;5100;1
ACRE;5118;234
ALAGOAS;5118;98
AMAZONAS;5118;4
AMAPA;5118;6
BAHIA;5118;660
CEARA;5118;377
DISTRITO FEDERAL;5118;10
ESPIRITO SANTO;5118;2331
GOIAS;5118;91
MARANHAO;5118;5
MATO GROSSO;5118;5
MATO GROSSO DO SUL;5118;5
MINAS GERAIS;5118;332
PARA;5118;18
PARAIBA;5118;5
PARANA;5118;133
PERNAMBUCO;5118;11
PIAUI;5118;1
RIO DE JANEIRO;5118;72
RIO GRANDE DO NORTE;5118;4
RIO GRANDE DO SUL;5118;169
RONDONIA;5118;54
RORAIMA;5118;1
SANTA CATARINA;5118;346
SAO PAULO;5118;1444
SERGIPE;5118;15
TOCANTINS;5118;4
ALAGOAS;5126;1
BAHIA;5126;3
CEARA;5126;1
DISTRITO FEDERAL;5126;3
ESPIRITO SANTO;5126;205
GOIAS;5126;1
MINAS GERAIS;5126;20
PARANA;5126;21
RIO DE JANEIRO;5126;1
RIO GRANDE DO SUL;5126;38
RONDONIA;5126;1
SANTA CATARINA;5126;14
SAO PAULO;5126;101
ACRE;5134;9
ALAGOAS;5134;1
BAHIA;5134;12
CEARA;5134;22
DISTRITO FEDERAL;5134;2
ESPIRITO SANTO;5134;39
GOIAS;5134;9
MINAS GERAIS;5134;16
PARA;5134;2
PARANA;5134;5
RIO GRANDE DO SUL;5134;19
RONDONIA;5134;1
SANTA CATARINA;5134;8
SAO PAULO;5134;53
ACRE;5142;41
